Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,I,
2026-03-19,15:23:41.843771,1773930221.843771,s,26.771844,s,11.72,mV
2026-03-19,15:23:42.092189,1773930222.092189,s,27.020262,s,11.44,mV
2026-03-19,15:23:42.344210,1773930222.34421,s,27.272283,s,11.44,mV
2026-03-19,15:23:42.592428,1773930222.592428,s,27.520501,s,11.44,mV
2026-03-19,15:23:42.844655,1773930222.844655,s,27.772728,s,11.44,mV
2026-03-19,15:23:43.092801,1773930223.092801,s,28.020874,s,11.44,mV
2026-03-19,15:23:43.345102,1773930223.345102,s,28.273175,s,11.44,mV
2026-03-19,15:23:43.593019,1773930223.593019,s,28.521092,s,11.44,mV
2026-03-19,15:23:43.845529,1773930223.845529,s,28.773602,s,12.54,mV
2026-03-19,15:23:44.093456,1773930224.093456,s,29.021529,s,12.54,mV
2026-03-19,15:23:44.345983,1773930224.345983,s,29.274056,s,12.88,mV
2026-03-19,15:23:44.593808,1773930224.593808,s,29.521881,s,12.88,mV
2026-03-19,15:23:44.846275,1773930224.846275,s,29.774348,s,12.88,mV
2026-03-19,15:23:45.094275,1773930225.094275,s,30.022348,s,12.91,mV
2026-03-19,15:23:45.346608,1773930225.346608,s,30.274681,s,12.91,mV
2026-03-19,15:23:45.594753,1773930225.594753,s,30.522826,s,11.73,mV
2026-03-19,15:23:45.846910,1773930225.84691,s,30.774983,s,11.73,mV
2026-03-19,15:23:46.095192,1773930226.095192,s,31.023265,s,11.19,mV
2026-03-19,15:23:46.347115,1773930226.347115,s,31.275188,s,11.19,mV
2026-03-19,15:23:46.595421,1773930226.595421,s,31.523494,s,11.19,mV
2026-03-19,15:23:46.847468,1773930226.847468,s,31.775541,s,11.19,mV
2026-03-19,15:23:47.095861,1773930227.095861,s,32.023934,s,11.19,mV
2026-03-19,15:23:47.347691,1773930227.347691,s,32.275764,s,12.54,mV
2026-03-19,15:23:47.596200,1773930227.5962,s,32.524273,s,12.54,mV
2026-03-19,15:23:47.847995,1773930227.847995,s,32.776068,s,12.44,mV
2026-03-19,15:23:48.096608,1773930228.096608,s,33.024681,s,12.44,mV
2026-03-19,15:23:48.348450,1773930228.34845,s,33.276523,s,12.44,mV
2026-03-19,15:23:48.597092,1773930228.597092,s,33.525165,s,12.45,mV
2026-03-19,15:23:48.848939,1773930228.848939,s,33.777012,s,12.45,mV
2026-03-19,15:23:49.097525,1773930229.097525,s,34.025598,s,13.42,mV
2026-03-19,15:23:49.349289,1773930229.349289,s,34.277362,s,13.42,mV
2026-03-19,15:23:49.597937,1773930229.597937,s,34.52601,s,16.56,mV
2026-03-19,15:23:49.849777,1773930229.849777,s,34.77785,s,16.56,mV
2026-03-19,15:23:50.098341,1773930230.098341,s,35.026414,s,15.73,mV
2026-03-19,15:23:50.350231,1773930230.350231,s,35.278304,s,15.73,mV
2026-03-19,15:23:50.598692,1773930230.598692,s,35.526765,s,15.73,mV
2026-03-19,15:23:50.850695,1773930230.850695,s,35.778768,s,16.55,mV
2026-03-19,15:23:51.098951,1773930231.098951,s,36.027024,s,16.55,mV
2026-03-19,15:23:51.351156,1773930231.351156,s,36.279229,s,15.59,mV
2026-03-19,15:23:51.599275,1773930231.599275,s,36.527348,s,15.59,mV
2026-03-19,15:23:51.851581,1773930231.851581,s,36.779654,s,15.59,mV
2026-03-19,15:23:52.099599,1773930232.099599,s,37.027672,s,13.59,mV
2026-03-19,15:23:52.352089,1773930232.352089,s,37.280162,s,13.59,mV
2026-03-19,15:23:52.599971,1773930232.599971,s,37.528044,s,13.59,mV
2026-03-19,15:23:52.852549,1773930232.852549,s,37.780622,s,13.59,mV
2026-03-19,15:23:53.100277,1773930233.100277,s,38.02835,s,13.59,mV
2026-03-19,15:23:53.352948,1773930233.352948,s,38.281021,s,13.59,mV
2026-03-19,15:23:53.600596,1773930233.600596,s,38.528669,s,9.98,mV
2026-03-19,15:23:53.853299,1773930233.853299,s,38.781372,s,9.98,mV
2026-03-19,15:23:54.100908,1773930234.100908,s,39.028981,s,9.98,mV
2026-03-19,15:23:54.353744,1773930234.353744,s,39.281817,s,9.35,mV
2026-03-19,15:23:54.601337,1773930234.601337,s,39.52941,s,9.35,mV
2026-03-19,15:23:54.854184,1773930234.854184,s,39.782257,s,9.35,mV
2026-03-19,15:23:55.101746,1773930235.101746,s,40.029819,s,9.35,mV
2026-03-19,15:23:55.354631,1773930235.354631,s,40.282704,s,12.25,mV
2026-03-19,15:23:55.602217,1773930235.602217,s,40.53029,s,12.25,mV
2026-03-19,15:23:55.855053,1773930235.855053,s,40.783126,s,12.25,mV
2026-03-19,15:23:56.102695,1773930236.102695,s,41.030768,s,13.02,mV
2026-03-19,15:23:56.355274,1773930236.355274,s,41.283347,s,13.02,mV
2026-03-19,15:23:56.603171,1773930236.603171,s,41.531244,s,13.55,mV
2026-03-19,15:23:56.855696,1773930236.855696,s,41.783769,s,13.55,mV
2026-03-19,15:23:57.103630,1773930237.10363,s,42.031703,s,15.4,mV
2026-03-19,15:23:57.356110,1773930237.35611,s,42.284183,s,15.4,mV
2026-03-19,15:23:57.603899,1773930237.603899,s,42.531972,s,15.4,mV
2026-03-19,15:23:57.856345,1773930237.856345,s,42.784418,s,16.91,mV
2026-03-19,15:23:58.104286,1773930238.104286,s,43.032359,s,16.91,mV
2026-03-19,15:23:58.356719,1773930238.356719,s,43.284792,s,17.2,mV
2026-03-19,15:23:58.604772,1773930238.604772,s,43.532845,s,17.2,mV
2026-03-19,15:23:58.857102,1773930238.857102,s,43.785175,s,13.72,mV
2026-03-19,15:23:59.105249,1773930239.105249,s,44.033322,s,13.72,mV
2026-03-19,15:23:59.357347,1773930239.357347,s,44.28542,s,14.08,mV
2026-03-19,15:23:59.605721,1773930239.605721,s,44.533794,s,14.08,mV
2026-03-19,15:23:59.857604,1773930239.857604,s,44.785677,s,14.08,mV
2026-03-19,15:24:00.106112,1773930240.106112,s,45.034185,s,12.14,mV
2026-03-19,15:24:00.357922,1773930240.357922,s,45.285995,s,12.14,mV
2026-03-19,15:24:00.606628,1773930240.606628,s,45.534701,s,11.42,mV
2026-03-19,15:24:00.858207,1773930240.858207,s,45.78628,s,11.42,mV
2026-03-19,15:24:01.107063,1773930241.107063,s,46.035136,s,11.42,mV
2026-03-19,15:24:01.358467,1773930241.358467,s,46.28654,s,9.4,mV
2026-03-19,15:24:01.607536,1773930241.607536,s,46.535609,s,9.4,mV
2026-03-19,15:24:01.858816,1773930241.858816,s,46.786889,s,9.4,mV
2026-03-19,15:24:02.108006,1773930242.108006,s,47.036079,s,9.4,mV
2026-03-19,15:24:02.359269,1773930242.359269,s,47.287342,s,9.73,mV
2026-03-19,15:24:02.608438,1773930242.608438,s,47.536511,s,9.73,mV
2026-03-19,15:24:02.859639,1773930242.859639,s,47.787712,s,9.73,mV
