Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-03-17,15:18:20.347103,1773757100.347103,s,34.025983,s,9.87,mV
2026-03-17,15:18:20.596329,1773757100.596329,s,34.275209,s,9.87,mV
2026-03-17,15:18:20.847514,1773757100.847514,s,34.526394,s,8.47,mV
2026-03-17,15:18:21.096696,1773757101.096696,s,34.775576,s,8.47,mV
2026-03-17,15:18:21.347924,1773757101.347924,s,35.026804,s,9.63,mV
2026-03-17,15:18:21.597035,1773757101.597035,s,35.275915,s,9.63,mV
2026-03-17,15:18:21.848154,1773757101.848154,s,35.527034,s,9.63,mV
2026-03-17,15:18:22.097473,1773757102.097473,s,35.776353,s,9.6,mV
2026-03-17,15:18:22.348386,1773757102.348386,s,36.027266,s,9.6,mV
2026-03-17,15:18:22.597914,1773757102.597914,s,36.276794,s,11.53,mV
2026-03-17,15:18:22.848698,1773757102.848698,s,36.527578,s,11.53,mV
2026-03-17,15:18:23.098358,1773757103.098358,s,36.777238,s,14.14,mV
2026-03-17,15:18:23.349002,1773757103.349002,s,37.027882,s,14.14,mV
2026-03-17,15:18:23.598661,1773757103.598661,s,37.277541,s,14.14,mV
2026-03-17,15:18:23.849257,1773757103.849257,s,37.528137,s,13.93,mV
2026-03-17,15:18:24.098977,1773757104.098977,s,37.777857,s,13.93,mV
2026-03-17,15:18:24.349579,1773757104.349579,s,38.028459,s,13.9,mV
2026-03-17,15:18:24.599216,1773757104.599216,s,38.278096,s,13.9,mV
2026-03-17,15:18:24.849872,1773757104.849872,s,38.528752,s,14.22,mV
2026-03-17,15:18:25.099443,1773757105.099443,s,38.778323,s,14.22,mV
2026-03-17,15:18:25.350139,1773757105.350139,s,39.029019,s,14.22,mV
2026-03-17,15:18:25.599713,1773757105.599713,s,39.278593,s,13.36,mV
2026-03-17,15:18:25.850444,1773757105.850444,s,39.529324,s,13.36,mV
2026-03-17,15:18:26.100103,1773757106.100103,s,39.778983,s,11.4,mV
2026-03-17,15:18:26.350887,1773757106.350887,s,40.029767,s,11.4,mV
2026-03-17,15:18:26.600513,1773757106.600513,s,40.279393,s,11.4,mV
2026-03-17,15:18:26.851310,1773757106.85131,s,40.53019,s,9.55,mV
2026-03-17,15:18:27.100919,1773757107.100919,s,40.779799,s,9.55,mV
2026-03-17,15:18:27.351755,1773757107.351755,s,41.030635,s,9.72,mV
2026-03-17,15:18:27.601313,1773757107.601313,s,41.280193,s,9.72,mV
2026-03-17,15:18:27.852080,1773757107.85208,s,41.53096,s,9.69,mV
2026-03-17,15:18:28.101696,1773757108.101696,s,41.780576,s,9.69,mV
2026-03-17,15:18:28.352312,1773757108.352312,s,42.031192,s,9.69,mV
2026-03-17,15:18:28.602028,1773757108.602028,s,42.280908,s,9.38,mV
2026-03-17,15:18:28.852647,1773757108.852647,s,42.531527,s,9.38,mV
2026-03-17,15:18:29.102347,1773757109.102347,s,42.781227,s,11.43,mV
2026-03-17,15:18:29.352927,1773757109.352927,s,43.031807,s,11.43,mV
2026-03-17,15:18:29.602667,1773757109.602667,s,43.281547,s,12.58,mV
2026-03-17,15:18:29.853394,1773757109.853394,s,43.532274,s,12.58,mV
2026-03-17,15:18:30.102975,1773757110.102975,s,43.781855,s,14.13,mV
2026-03-17,15:18:30.353839,1773757110.353839,s,44.032719,s,14.13,mV
2026-03-17,15:18:30.603206,1773757110.603206,s,44.282086,s,14.13,mV
2026-03-17,15:18:30.854275,1773757110.854275,s,44.533155,s,14.12,mV
2026-03-17,15:18:31.103522,1773757111.103522,s,44.782402,s,14.12,mV
2026-03-17,15:18:31.354574,1773757111.354574,s,45.033454,s,15.33,mV
2026-03-17,15:18:31.603824,1773757111.603824,s,45.282704,s,15.33,mV
2026-03-17,15:18:31.854963,1773757111.854963,s,45.533843,s,15.33,mV
2026-03-17,15:18:32.104212,1773757112.104212,s,45.783092,s,12.78,mV
2026-03-17,15:18:32.355433,1773757112.355433,s,46.034313,s,12.78,mV
2026-03-17,15:18:32.604636,1773757112.604636,s,46.283516,s,11.51,mV
2026-03-17,15:18:32.855871,1773757112.855871,s,46.534751,s,11.51,mV
2026-03-17,15:18:33.105062,1773757113.105062,s,46.783942,s,11.51,mV
2026-03-17,15:18:33.356136,1773757113.356136,s,47.035016,s,11.51,mV
2026-03-17,15:18:33.605287,1773757113.605287,s,47.284167,s,11.51,mV
2026-03-17,15:18:33.856553,1773757113.856553,s,47.535433,s,9.66,mV
2026-03-17,15:18:34.105625,1773757114.105625,s,47.784505,s,9.66,mV
2026-03-17,15:18:34.356929,1773757114.356929,s,48.035809,s,9.65,mV
2026-03-17,15:18:34.606064,1773757114.606064,s,48.284944,s,9.65,mV
2026-03-17,15:18:34.857326,1773757114.857326,s,48.536206,s,8.98,mV
2026-03-17,15:18:35.106588,1773757115.106588,s,48.785468,s,8.98,mV
2026-03-17,15:18:35.357714,1773757115.357714,s,49.036594,s,8.98,mV
2026-03-17,15:18:35.607063,1773757115.607063,s,49.285943,s,8.98,mV
2026-03-17,15:18:35.858040,1773757115.85804,s,49.53692,s,8.98,mV
2026-03-17,15:18:36.107468,1773757116.107468,s,49.786348,s,12.17,mV
2026-03-17,15:18:36.358257,1773757116.358257,s,50.037137,s,12.17,mV
2026-03-17,15:18:36.608106,1773757116.608106,s,50.286986,s,13.02,mV
2026-03-17,15:18:36.858483,1773757116.858483,s,50.537363,s,13.02,mV
2026-03-17,15:18:37.108535,1773757117.108535,s,50.787415,s,13.89,mV
2026-03-17,15:18:37.358760,1773757117.35876,s,51.03764,s,13.89,mV
2026-03-17,15:18:37.608942,1773757117.608942,s,51.287822,s,13.89,mV
2026-03-17,15:18:37.859021,1773757117.859021,s,51.537901,s,15.32,mV
2026-03-17,15:18:38.109403,1773757118.109403,s,51.788283,s,15.32,mV
2026-03-17,15:18:38.359423,1773757118.359423,s,52.038303,s,14.03,mV
2026-03-17,15:18:38.609870,1773757118.60987,s,52.28875,s,14.03,mV
2026-03-17,15:18:38.859748,1773757118.859748,s,52.538628,s,13.42,mV
2026-03-17,15:18:39.110310,1773757119.11031,s,52.78919,s,13.42,mV
2026-03-17,15:18:39.360053,1773757119.360053,s,53.038933,s,13.42,mV
2026-03-17,15:18:39.610729,1773757119.610729,s,53.289609,s,11.85,mV
2026-03-17,15:18:39.860261,1773757119.860261,s,53.539141,s,11.85,mV
2026-03-17,15:18:40.111038,1773757120.111038,s,53.789918,s,11.85,mV
2026-03-17,15:18:40.360748,1773757120.360748,s,54.039628,s,11.85,mV
2026-03-17,15:18:40.611481,1773757120.611481,s,54.290361,s,9.95,mV
2026-03-17,15:18:40.861195,1773757120.861195,s,54.540075,s,9.95,mV
2026-03-17,15:18:41.111753,1773757121.111753,s,54.790633,s,9.95,mV
2026-03-17,15:18:41.361653,1773757121.361653,s,55.040533,s,8.8,mV
2026-03-17,15:18:41.612088,1773757121.612088,s,55.290968,s,8.8,mV
2026-03-17,15:18:41.862100,1773757121.8621,s,55.54098,s,9.69,mV
2026-03-17,15:18:42.112557,1773757122.112557,s,55.791437,s,9.69,mV
2026-03-17,15:18:42.362457,1773757122.362457,s,56.041337,s,9.69,mV
2026-03-17,15:18:42.612988,1773757122.612988,s,56.291868,s,9.69,mV
2026-03-17,15:18:42.862903,1773757122.862903,s,56.541783,s,9.69,mV
2026-03-17,15:18:43.113433,1773757123.113433,s,56.792313,s,11.6,mV
2026-03-17,15:18:43.363356,1773757123.363356,s,57.042236,s,11.6,mV
2026-03-17,15:18:43.613829,1773757123.613829,s,57.292709,s,12.57,mV
2026-03-17,15:18:43.863822,1773757123.863822,s,57.542702,s,12.57,mV
2026-03-17,15:18:44.114151,1773757124.114151,s,57.793031,s,12.57,mV
2026-03-17,15:18:44.364273,1773757124.364273,s,58.043153,s,13.56,mV
2026-03-17,15:18:44.614553,1773757124.614553,s,58.293433,s,13.56,mV
