Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-04-16,13:54:43.337661,1776340483.337661,s,40.031173,s,149.2,mV
2026-04-16,13:54:43.595902,1776340483.595902,s,40.289414,s,253.5,mV
2026-04-16,13:54:43.838082,1776340483.838082,s,40.531594,s,253.5,mV
2026-04-16,13:54:44.096233,1776340484.096233,s,40.789745,s,262.2,mV
2026-04-16,13:54:44.338489,1776340484.338489,s,41.032001,s,262.2,mV
2026-04-16,13:54:44.596550,1776340484.59655,s,41.290062,s,262.2,mV
2026-04-16,13:54:44.838821,1776340484.838821,s,41.532333,s,262.2,mV
2026-04-16,13:54:45.096906,1776340485.096906,s,41.790418,s,262.2,mV
2026-04-16,13:54:45.339043,1776340485.339043,s,42.032555,s,60.0,mV
2026-04-16,13:54:45.597226,1776340485.597226,s,42.290738,s,60.0,mV
2026-04-16,13:54:45.839357,1776340485.839357,s,42.532869,s,56.1,mV
2026-04-16,13:54:46.097594,1776340486.097594,s,42.791106,s,56.1,mV
2026-04-16,13:54:46.339668,1776340486.339668,s,43.03318,s,56.1,mV
2026-04-16,13:54:46.597913,1776340486.597913,s,43.291425,s,158.7,mV
2026-04-16,13:54:46.839895,1776340486.839895,s,43.533407,s,158.7,mV
2026-04-16,13:54:47.098429,1776340487.098429,s,43.791941,s,221.1,mV
2026-04-16,13:54:47.340169,1776340487.340169,s,44.033681,s,221.1,mV
2026-04-16,13:54:47.598765,1776340487.598765,s,44.292277,s,221.1,mV
2026-04-16,13:54:47.840432,1776340487.840432,s,44.533944,s,256.5,mV
2026-04-16,13:54:48.098977,1776340488.098977,s,44.792489,s,256.5,mV
2026-04-16,13:54:48.340622,1776340488.340622,s,45.034134,s,150.3,mV
2026-04-16,13:54:48.599475,1776340488.599475,s,45.292987,s,150.3,mV
2026-04-16,13:54:48.840773,1776340488.840773,s,45.534285,s,54.7,mV
2026-04-16,13:54:49.099972,1776340489.099972,s,45.793484,s,54.7,mV
2026-04-16,13:54:49.341012,1776340489.341012,s,46.034524,s,54.7,mV
2026-04-16,13:54:49.600496,1776340489.600496,s,46.294008,s,57.3,mV
2026-04-16,13:54:49.841484,1776340489.841484,s,46.534996,s,57.3,mV
2026-04-16,13:54:50.100936,1776340490.100936,s,46.794448,s,153.6,mV
2026-04-16,13:54:50.341962,1776340490.341962,s,47.035474,s,153.6,mV
2026-04-16,13:54:50.601372,1776340490.601372,s,47.294884,s,257.6,mV
2026-04-16,13:54:50.842381,1776340490.842381,s,47.535893,s,257.6,mV
2026-04-16,13:54:51.101770,1776340491.10177,s,47.795282,s,257.6,mV
2026-04-16,13:54:51.342844,1776340491.342844,s,48.036356,s,266.1,mV
2026-04-16,13:54:51.602183,1776340491.602183,s,48.295695,s,266.1,mV
2026-04-16,13:54:51.843298,1776340491.843298,s,48.53681,s,179.5,mV
2026-04-16,13:54:52.102550,1776340492.10255,s,48.796062,s,179.5,mV
2026-04-16,13:54:52.343777,1776340492.343777,s,49.037289,s,69.6,mV
2026-04-16,13:54:52.602999,1776340492.602999,s,49.296511,s,69.6,mV
2026-04-16,13:54:52.844258,1776340492.844258,s,49.53777,s,69.6,mV
2026-04-16,13:54:53.103433,1776340493.103433,s,49.796945,s,46.7,mV
2026-04-16,13:54:53.344721,1776340493.344721,s,50.038233,s,46.7,mV
2026-04-16,13:54:53.604022,1776340493.604022,s,50.297534,s,46.7,mV
2026-04-16,13:54:53.845204,1776340493.845204,s,50.538716,s,111.7,mV
2026-04-16,13:54:54.104436,1776340494.104436,s,50.797948,s,111.7,mV
2026-04-16,13:54:54.345607,1776340494.345607,s,51.039119,s,227.9,mV
2026-04-16,13:54:54.604736,1776340494.604736,s,51.298248,s,227.9,mV
2026-04-16,13:54:54.846016,1776340494.846016,s,51.539528,s,227.9,mV
2026-04-16,13:54:55.104955,1776340495.104955,s,51.798467,s,244.9,mV
2026-04-16,13:54:55.346464,1776340495.346464,s,52.039976,s,244.9,mV
2026-04-16,13:54:55.605398,1776340495.605398,s,52.29891,s,192.0,mV
2026-04-16,13:54:55.846893,1776340495.846893,s,52.540405,s,192.0,mV
2026-04-16,13:54:56.105714,1776340496.105714,s,52.799226,s,75.0,mV
2026-04-16,13:54:56.347360,1776340496.34736,s,53.040872,s,75.0,mV
2026-04-16,13:54:56.606094,1776340496.606094,s,53.299606,s,75.0,mV
2026-04-16,13:54:56.847779,1776340496.847779,s,53.541291,s,66.7,mV
2026-04-16,13:54:57.106296,1776340497.106296,s,53.799808,s,66.7,mV
2026-04-16,13:54:57.348001,1776340497.348001,s,54.041513,s,114.3,mV
2026-04-16,13:54:57.606636,1776340497.606636,s,54.300148,s,114.3,mV
2026-04-16,13:54:57.848362,1776340497.848362,s,54.541874,s,114.3,mV
2026-04-16,13:54:58.107129,1776340498.107129,s,54.800641,s,234.1,mV
2026-04-16,13:54:58.348765,1776340498.348765,s,55.042277,s,234.1,mV
2026-04-16,13:54:58.607604,1776340498.607604,s,55.301116,s,251.7,mV
2026-04-16,13:54:58.848941,1776340498.848941,s,55.542453,s,251.7,mV
2026-04-16,13:54:59.108050,1776340499.10805,s,55.801562,s,202.7,mV
2026-04-16,13:54:59.349144,1776340499.349144,s,56.042656,s,202.7,mV
2026-04-16,13:54:59.608528,1776340499.608528,s,56.30204,s,202.7,mV
2026-04-16,13:54:59.849459,1776340499.849459,s,56.542971,s,76.8,mV
2026-04-16,13:55:00.108979,1776340500.108979,s,56.802491,s,76.8,mV
2026-04-16,13:55:00.349793,1776340500.349793,s,57.043305,s,49.3,mV
2026-04-16,13:55:00.609498,1776340500.609498,s,57.30301,s,49.3,mV
2026-04-16,13:55:00.850008,1776340500.850008,s,57.54352,s,104.2,mV
2026-04-16,13:55:01.109950,1776340501.10995,s,57.803462,s,104.2,mV
2026-04-16,13:55:01.350281,1776340501.350281,s,58.043793,s,104.2,mV
2026-04-16,13:55:01.610475,1776340501.610475,s,58.303987,s,226.9,mV
2026-04-16,13:55:01.850546,1776340501.850546,s,58.544058,s,226.9,mV
2026-04-16,13:55:02.110864,1776340502.110864,s,58.804376,s,269.8,mV
2026-04-16,13:55:02.350847,1776340502.350847,s,59.044359,s,269.8,mV
2026-04-16,13:55:02.611299,1776340502.611299,s,59.304811,s,269.8,mV
2026-04-16,13:55:02.851266,1776340502.851266,s,59.544778,s,239.5,mV
2026-04-16,13:55:03.111632,1776340503.111632,s,59.805144,s,239.5,mV
2026-04-16,13:55:03.351907,1776340503.351907,s,60.045419,s,108.9,mV
2026-04-16,13:55:03.612166,1776340503.612166,s,60.305678,s,108.9,mV
2026-04-16,13:55:03.852440,1776340503.85244,s,60.545952,s,59.2,mV
2026-04-16,13:55:04.112636,1776340504.112636,s,60.806148,s,59.2,mV
2026-04-16,13:55:04.352920,1776340504.35292,s,61.046432,s,59.2,mV
2026-04-16,13:55:04.613145,1776340504.613145,s,61.306657,s,82.2,mV
2026-04-16,13:55:04.853338,1776340504.853338,s,61.54685,s,82.2,mV
2026-04-16,13:55:05.113605,1776340505.113605,s,61.807117,s,192.2,mV
2026-04-16,13:55:05.353789,1776340505.353789,s,62.047301,s,192.2,mV
2026-04-16,13:55:05.613878,1776340505.613878,s,62.30739,s,244.6,mV
2026-04-16,13:55:05.854141,1776340505.854141,s,62.547653,s,244.6,mV
2026-04-16,13:55:06.114297,1776340506.114297,s,62.807809,s,244.6,mV
2026-04-16,13:55:06.354617,1776340506.354617,s,63.048129,s,263.8,mV
2026-04-16,13:55:06.614771,1776340506.614771,s,63.308283,s,263.8,mV
2026-04-16,13:55:06.854964,1776340506.854964,s,63.548476,s,263.8,mV
2026-04-16,13:55:07.114978,1776340507.114978,s,63.80849,s,150.2,mV
2026-04-16,13:55:07.355479,1776340507.355479,s,64.048991,s,150.2,mV
2026-04-16,13:55:07.615364,1776340507.615364,s,64.308876,s,90.3,mV
2026-04-16,13:55:07.855800,1776340507.8558,s,64.549312,s,90.3,mV
2026-04-16,13:55:08.115693,1776340508.115693,s,64.809205,s,90.3,mV
2026-04-16,13:55:08.356049,1776340508.356049,s,65.049561,s,90.3,mV
2026-04-16,13:55:08.615951,1776340508.615951,s,65.309463,s,90.3,mV
2026-04-16,13:55:08.856407,1776340508.856407,s,65.549919,s,151.8,mV
2026-04-16,13:55:09.116264,1776340509.116264,s,65.809776,s,151.8,mV
2026-04-16,13:55:09.356894,1776340509.356894,s,66.050406,s,151.8,mV
2026-04-16,13:55:09.616593,1776340509.616593,s,66.310105,s,259.2,mV
2026-04-16,13:55:09.857416,1776340509.857416,s,66.550928,s,259.2,mV
2026-04-16,13:55:10.116866,1776340510.116866,s,66.810378,s,263.9,mV
2026-04-16,13:55:10.357904,1776340510.357904,s,67.051416,s,263.9,mV
2026-04-16,13:55:10.617161,1776340510.617161,s,67.310673,s,182.1,mV
2026-04-16,13:55:10.858225,1776340510.858225,s,67.551737,s,182.1,mV
2026-04-16,13:55:11.117579,1776340511.117579,s,67.811091,s,117.0,mV
2026-04-16,13:55:11.358619,1776340511.358619,s,68.052131,s,117.0,mV
2026-04-16,13:55:11.617995,1776340511.617995,s,68.311507,s,117.0,mV
2026-04-16,13:55:11.858875,1776340511.858875,s,68.552387,s,45.4,mV
2026-04-16,13:55:12.118480,1776340512.11848,s,68.811992,s,45.4,mV
2026-04-16,13:55:12.359094,1776340512.359094,s,69.052606,s,96.0,mV
2026-04-16,13:55:12.618909,1776340512.618909,s,69.312421,s,96.0,mV
2026-04-16,13:55:12.859409,1776340512.859409,s,69.552921,s,156.8,mV
2026-04-16,13:55:13.119396,1776340513.119396,s,69.812908,s,156.8,mV
2026-04-16,13:55:13.359724,1776340513.359724,s,70.053236,s,156.8,mV
2026-04-16,13:55:13.619810,1776340513.61981,s,70.313322,s,255.8,mV
2026-04-16,13:55:13.859950,1776340513.85995,s,70.553462,s,255.8,mV
2026-04-16,13:55:14.120276,1776340514.120276,s,70.813788,s,237.7,mV
2026-04-16,13:55:14.360262,1776340514.360262,s,71.053774,s,237.7,mV
2026-04-16,13:55:14.620735,1776340514.620735,s,71.314247,s,237.7,mV
2026-04-16,13:55:14.860583,1776340514.860583,s,71.554095,s,237.7,mV
2026-04-16,13:55:15.121153,1776340515.121153,s,71.814665,s,237.7,mV
2026-04-16,13:55:15.360885,1776340515.360885,s,72.054397,s,70.9,mV
2026-04-16,13:55:15.621673,1776340515.621673,s,72.315185,s,70.9,mV
