Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,F,
2026-05-12,15:24:29.188587,1778592269.188587,s,44.536886,s,7899,
2026-05-12,15:24:29.435701,1778592269.435701,s,44.784,s,8026,
2026-05-12,15:24:29.689078,1778592269.689078,s,45.037377,s,8129,
2026-05-12,15:24:29.936339,1778592269.936339,s,45.284638,s,8238,
2026-05-12,15:24:30.189440,1778592270.18944,s,45.537739,s,8322,
2026-05-12,15:24:30.436857,1778592270.436857,s,45.785156,s,8435,
2026-05-12,15:24:30.689884,1778592270.689884,s,46.038183,s,8521,
2026-05-12,15:24:30.937391,1778592270.937391,s,46.28569,s,8619,
2026-05-12,15:24:31.190214,1778592271.190214,s,46.538513,s,8695,
2026-05-12,15:24:31.437939,1778592271.437939,s,46.786238,s,8795,
2026-05-12,15:24:31.690650,1778592271.69065,s,47.038949,s,8860,
2026-05-12,15:24:31.938481,1778592271.938481,s,47.28678,s,8948,
2026-05-12,15:24:32.191080,1778592272.19108,s,47.539379,s,9012,
2026-05-12,15:24:32.438976,1778592272.438976,s,47.787275,s,9094,
2026-05-12,15:24:32.691508,1778592272.691508,s,48.039807,s,9162,
2026-05-12,15:24:32.939457,1778592272.939457,s,48.287756,s,9230,
2026-05-12,15:24:33.191887,1778592273.191887,s,48.540186,s,9292,
2026-05-12,15:24:33.439827,1778592273.439827,s,48.788126,s,9352,
2026-05-12,15:24:33.692244,1778592273.692244,s,49.040543,s,9403,
2026-05-12,15:24:33.940300,1778592273.9403,s,49.288599,s,9468,
2026-05-12,15:24:34.192505,1778592274.192505,s,49.540804,s,9500,
2026-05-12,15:24:34.440819,1778592274.440819,s,49.789118,s,9568,
2026-05-12,15:24:34.692885,1778592274.692885,s,50.041184,s,9609,
2026-05-12,15:24:34.941468,1778592274.941468,s,50.289767,s,9677,
2026-05-12,15:24:35.193219,1778592275.193219,s,50.541518,s,9697,
2026-05-12,15:24:35.441986,1778592275.441986,s,50.790285,s,9764,
2026-05-12,15:24:35.693451,1778592275.693451,s,51.04175,s,9797,
2026-05-12,15:24:35.942500,1778592275.9425,s,51.290799,s,9860,
2026-05-12,15:24:36.193725,1778592276.193725,s,51.542024,s,9878,
2026-05-12,15:24:36.442999,1778592276.442999,s,51.791298,s,9929,
2026-05-12,15:24:36.694009,1778592276.694009,s,52.042308,s,9966,
2026-05-12,15:24:36.943480,1778592276.94348,s,52.291779,s,10007,
2026-05-12,15:24:37.194245,1778592277.194245,s,52.542544,s,10046,
2026-05-12,15:24:37.444038,1778592277.444038,s,52.792337,s,10088,
2026-05-12,15:24:37.694785,1778592277.694785,s,53.043084,s,10119,
2026-05-12,15:24:37.944521,1778592277.944521,s,53.29282,s,10165,
2026-05-12,15:24:38.195209,1778592278.195209,s,53.543508,s,10194,
2026-05-12,15:24:38.444995,1778592278.444995,s,53.793294,s,10235,
2026-05-12,15:24:38.695678,1778592278.695678,s,54.043977,s,10260,
2026-05-12,15:24:38.945450,1778592278.94545,s,54.293749,s,10305,
2026-05-12,15:24:39.196145,1778592279.196145,s,54.544444,s,10320,
2026-05-12,15:24:39.445924,1778592279.445924,s,54.794223,s,10367,
2026-05-12,15:24:39.696657,1778592279.696657,s,55.044956,s,10389,
2026-05-12,15:24:39.946376,1778592279.946376,s,55.294675,s,10427,
2026-05-12,15:24:40.197119,1778592280.197119,s,55.545418,s,10450,
2026-05-12,15:24:40.446862,1778592280.446862,s,55.795161,s,10479,
2026-05-12,15:24:40.697616,1778592280.697616,s,56.045915,s,10511,
2026-05-12,15:24:40.947213,1778592280.947213,s,56.295512,s,10537,
2026-05-12,15:24:41.198112,1778592281.198112,s,56.546411,s,10565,
2026-05-12,15:24:41.447472,1778592281.447472,s,56.795771,s,10603,
2026-05-12,15:24:41.698670,1778592281.69867,s,57.046969,s,10617,
2026-05-12,15:24:41.947707,1778592281.947707,s,57.296006,s,10651,
2026-05-12,15:24:42.199176,1778592282.199176,s,57.547475,s,10673,
2026-05-12,15:24:42.448077,1778592282.448077,s,57.796376,s,10709,
2026-05-12,15:24:42.699732,1778592282.699732,s,58.048031,s,10720,
2026-05-12,15:24:42.948445,1778592282.948445,s,58.296744,s,10757,
2026-05-12,15:24:43.200004,1778592283.200004,s,58.548303,s,10786,
2026-05-12,15:24:43.448678,1778592283.448678,s,58.796977,s,10802,
2026-05-12,15:24:43.700472,1778592283.700472,s,59.048771,s,10824,
2026-05-12,15:24:43.948923,1778592283.948923,s,59.297222,s,10856,
2026-05-12,15:24:44.201006,1778592284.201006,s,59.549305,s,10878,
2026-05-12,15:24:44.449197,1778592284.449197,s,59.797496,s,10902,
2026-05-12,15:24:44.701531,1778592284.701531,s,60.04983,s,10932,
2026-05-12,15:24:44.949436,1778592284.949436,s,60.297735,s,10956,
2026-05-12,15:24:45.202104,1778592285.202104,s,60.550403,s,10967,
2026-05-12,15:24:45.449958,1778592285.449958,s,60.798257,s,11003,
2026-05-12,15:24:45.702626,1778592285.702626,s,61.050925,s,11016,
2026-05-12,15:24:45.950494,1778592285.950494,s,61.298793,s,11048,
2026-05-12,15:24:46.202988,1778592286.202988,s,61.551287,s,11060,
2026-05-12,15:24:46.451043,1778592286.451043,s,61.799342,s,11091,
2026-05-12,15:24:46.703460,1778592286.70346,s,62.051759,s,11107,
2026-05-12,15:24:46.951596,1778592286.951596,s,62.299895,s,11134,
2026-05-12,15:24:47.203923,1778592287.203923,s,62.552222,s,11165,
2026-05-12,15:24:47.452139,1778592287.452139,s,62.800438,s,11179,
2026-05-12,15:24:47.704371,1778592287.704371,s,63.05267,s,11200,
2026-05-12,15:24:47.952669,1778592287.952669,s,63.300968,s,11217,
2026-05-12,15:24:48.204612,1778592288.204612,s,63.552911,s,11250,
2026-05-12,15:24:48.453191,1778592288.453191,s,63.80149,s,11262,
2026-05-12,15:24:48.704969,1778592288.704969,s,64.053268,s,11286,
2026-05-12,15:24:48.953752,1778592288.953752,s,64.302051,s,11312,
2026-05-12,15:24:49.205400,1778592289.2054,s,64.553699,s,11325,
2026-05-12,15:24:49.454254,1778592289.454254,s,64.802553,s,11351,
2026-05-12,15:24:49.705639,1778592289.705639,s,65.053938,s,11363,
2026-05-12,15:24:49.954754,1778592289.954754,s,65.303053,s,11400,
2026-05-12,15:24:50.205984,1778592290.205984,s,65.554283,s,11409,
2026-05-12,15:24:50.455238,1778592290.455238,s,65.803537,s,11434,
2026-05-12,15:24:50.706308,1778592290.706308,s,66.054607,s,11459,
2026-05-12,15:24:50.955809,1778592290.955809,s,66.304108,s,11482,
2026-05-12,15:24:51.206533,1778592291.206533,s,66.554832,s,11497,
2026-05-12,15:24:51.456315,1778592291.456315,s,66.804614,s,11516,
2026-05-12,15:24:51.706823,1778592291.706823,s,67.055122,s,11527,
2026-05-12,15:24:51.956846,1778592291.956846,s,67.305145,s,11557,
2026-05-12,15:24:52.207219,1778592292.207219,s,67.555518,s,11575,
2026-05-12,15:24:52.457331,1778592292.457331,s,67.80563,s,11612,
2026-05-12,15:24:52.707802,1778592292.707802,s,68.056101,s,11613,
2026-05-12,15:24:52.957825,1778592292.957825,s,68.306124,s,11635,
2026-05-12,15:24:53.208121,1778592293.208121,s,68.55642,s,11655,
2026-05-12,15:24:53.458254,1778592293.458254,s,68.806553,s,11678,
2026-05-12,15:24:53.708610,1778592293.70861,s,69.056909,s,11688,
2026-05-12,15:24:53.958708,1778592293.958708,s,69.307007,s,11717,
2026-05-12,15:24:54.209165,1778592294.209165,s,69.557464,s,11735,
2026-05-12,15:24:54.459159,1778592294.459159,s,69.807458,s,11753,
2026-05-12,15:24:54.709712,1778592294.709712,s,70.058011,s,11768,
2026-05-12,15:24:54.959475,1778592294.959475,s,70.307774,s,11795,
2026-05-12,15:24:55.210146,1778592295.210146,s,70.558445,s,11802,
2026-05-12,15:24:55.459816,1778592295.459816,s,70.808115,s,11826,
2026-05-12,15:24:55.710611,1778592295.710611,s,71.05891,s,11849,
2026-05-12,15:24:55.960155,1778592295.960155,s,71.308454,s,11872,
2026-05-12,15:24:56.210993,1778592296.210993,s,71.559292,s,11892,
2026-05-12,15:24:56.460480,1778592296.46048,s,71.808779,s,11900,
2026-05-12,15:24:56.711476,1778592296.711476,s,72.059775,s,11913,
2026-05-12,15:24:56.960815,1778592296.960815,s,72.309114,s,11945,
2026-05-12,15:24:57.211880,1778592297.21188,s,72.560179,s,11960,
2026-05-12,15:24:57.461162,1778592297.461162,s,72.809461,s,11975,
2026-05-12,15:24:57.712408,1778592297.712408,s,73.060707,s,11986,
2026-05-12,15:24:57.961476,1778592297.961476,s,73.309775,s,12013,
2026-05-12,15:24:58.212891,1778592298.212891,s,73.56119,s,12028,
2026-05-12,15:24:58.461827,1778592298.461827,s,73.810126,s,12049,
