Date,Time,Time since 1970-01-01T00:00:00Z,,T,,x,
2026-03-05,14:47:39.564213,1772718459.564213,s,7.507022,s,-14,
2026-03-05,14:47:39.814388,1772718459.814388,s,7.757197,s,-28,
2026-03-05,14:47:40.064531,1772718460.064531,s,8.00734,s,-9,
2026-03-05,14:47:40.314865,1772718460.314865,s,8.257674,s,-17,
2026-03-05,14:47:40.564819,1772718460.564819,s,8.507628,s,-18,
2026-03-05,14:47:40.815373,1772718460.815373,s,8.758182,s,-5,
2026-03-05,14:47:41.065108,1772718461.065108,s,9.007917,s,-32,
2026-03-05,14:47:41.315909,1772718461.315909,s,9.258718,s,-27,
2026-03-05,14:47:41.565612,1772718461.565612,s,9.508421,s,4,
2026-03-05,14:47:41.816386,1772718461.816386,s,9.759195,s,-6,
2026-03-05,14:47:42.066123,1772718462.066123,s,10.008932,s,-12,
2026-03-05,14:47:42.316744,1772718462.316744,s,10.259553,s,-3,
2026-03-05,14:47:42.566594,1772718462.566594,s,10.509403,s,-14,
2026-03-05,14:47:42.817237,1772718462.817237,s,10.760046,s,-18,
2026-03-05,14:47:43.066974,1772718463.066974,s,11.009783,s,-14,
2026-03-05,14:47:43.317704,1772718463.317704,s,11.260513,s,-14,
2026-03-05,14:47:43.567507,1772718463.567507,s,11.510316,s,-10,
2026-03-05,14:47:43.818171,1772718463.818171,s,11.76098,s,-12,
2026-03-05,14:47:44.067850,1772718464.06785,s,12.010659,s,6,
2026-03-05,14:47:44.318638,1772718464.318638,s,12.261447,s,5,
2026-03-05,14:47:44.568397,1772718464.568397,s,12.511206,s,-12,
2026-03-05,14:47:44.819111,1772718464.819111,s,12.76192,s,-11,
2026-03-05,14:47:45.068941,1772718465.068941,s,13.01175,s,-11,
2026-03-05,14:47:45.319597,1772718465.319597,s,13.262406,s,-25,
2026-03-05,14:47:45.569413,1772718465.569413,s,13.512222,s,-6,
2026-03-05,14:47:45.819915,1772718465.819915,s,13.762724,s,0,
2026-03-05,14:47:46.069903,1772718466.069903,s,14.012712,s,-9,
2026-03-05,14:47:46.320239,1772718466.320239,s,14.263048,s,-2,
2026-03-05,14:47:46.570376,1772718466.570376,s,14.513185,s,-2,
2026-03-05,14:47:46.820537,1772718466.820537,s,14.763346,s,3,
2026-03-05,14:47:47.070909,1772718467.070909,s,15.013718,s,-30,
2026-03-05,14:47:47.320848,1772718467.320848,s,15.263657,s,-21,
2026-03-05,14:47:47.571390,1772718467.57139,s,15.514199,s,-4,
2026-03-05,14:47:47.821201,1772718467.821201,s,15.76401,s,-14,
2026-03-05,14:47:48.071783,1772718468.071783,s,16.014592,s,0,
2026-03-05,14:47:48.321459,1772718468.321459,s,16.264268,s,13,
2026-03-05,14:47:48.572269,1772718468.572269,s,16.515078,s,-7,
2026-03-05,14:47:48.821973,1772718468.821973,s,16.764782,s,-6,
2026-03-05,14:47:49.072692,1772718469.072692,s,17.015501,s,-15,
2026-03-05,14:47:49.322530,1772718469.32253,s,17.265339,s,-5,
2026-03-05,14:47:49.573173,1772718469.573173,s,17.515982,s,-4,
2026-03-05,14:47:49.822997,1772718469.822997,s,17.765806,s,-14,
2026-03-05,14:47:50.073641,1772718470.073641,s,18.01645,s,1,
2026-03-05,14:47:50.323578,1772718470.323578,s,18.266387,s,10,
2026-03-05,14:47:50.574126,1772718470.574126,s,18.516935,s,-14,
2026-03-05,14:47:50.824082,1772718470.824082,s,18.766891,s,-5,
2026-03-05,14:47:51.074401,1772718471.074401,s,19.01721,s,-17,
2026-03-05,14:47:51.324596,1772718471.324596,s,19.267405,s,-20,
2026-03-05,14:47:51.574860,1772718471.57486,s,19.517669,s,11,
2026-03-05,14:47:51.825096,1772718471.825096,s,19.767905,s,5,
2026-03-05,14:47:52.075304,1772718472.075304,s,20.018113,s,-7,
2026-03-05,14:47:52.325628,1772718472.325628,s,20.268437,s,-5,
2026-03-05,14:47:52.575634,1772718472.575634,s,20.518443,s,-83,
2026-03-05,14:47:52.826139,1772718472.826139,s,20.768948,s,-18,
2026-03-05,14:47:53.075970,1772718473.07597,s,21.018779,s,-13,
2026-03-05,14:47:53.326729,1772718473.326729,s,21.269538,s,-8,
