Zeit t / s;Weg s_A1 / cm;p;V
0,0426;0,620464549083984;964;317,440853260923
0,0428;0,644026493985908;965;316,774050220199
0,043;0,659734457253856;966;316,329514859716
0,0432;0,675442420521805;967;315,884979499233
0,0434;0,68329640215578;968;315,662711818991
0,0436;0,699004365423729;970;315,218176458508
0,0438;0,714712328691678;971;314,773641098026
0,044;0,730420291959627;972;314,329105737543
0,0442;0,746128255227576;973;313,88457037706
0,0444;0,75398223686155;975;313,662302696818
0,0446;0,769690200129499;976;313,217767336335
0,0448;0,785398163397448;978;312,773231975852
0,045;0,808960108299372;979;312,106428935128
0,0452;0,816814089933346;980;311,884161254886
0,0454;0,832522053201295;982;311,439625894403
0,0456;0,848230016469244;983;310,99509053392
0,0458;0,863937979737193;984;310,550555173437
0,046;0,879645943005142;986;310,106019812954
0,0462;0,895353906273091;987;309,661484452472
0,0464;0,91106186954104;989;309,216949091989
0,0466;0,926769832808989;990;308,772413731506
0,0468;0,942477796076938;992;308,327878371023
0,047;0,950331777710912;993;308,105610690781
0,0472;0,973893722612836;995;307,438807650057
0,0474;0,989601685880785;997;306,994272289574
0,0476;1,01316363078271;998;306,327469248849
0,0478;1,01316363078271;1000;306,327469248849
0,048;1,03672557568463;1002;305,660666208125
0,0482;1,04457955731861;1003;305,438398527883
0,0484;1,06814150222053;1005;304,771595487159
0,0486;1,0759954838545;1007;304,549327806918
0,0488;1,09955742875643;1008;303,882524766193
0,049;1,1074114103904;1010;303,660257085952
0,0492;1,13097335529233;1012;302,993454045227
0,0494;1,1388273369263;1014;302,771186364986
0,0496;1,16238928182822;1015;302,104383324261
0,0498;1,17809724509617;1017;301,659847963778
0,05;1,2016591899981;1019;300,993044923054
0,0502;1,20951317163207;1021;300,770777242812
0,0504;1,22522113490002;1023;300,326241882329
0,0506;1,23307511653399;1025;300,103974202088
0,0508;1,25663706143592;1027;299,437171161364
0,051;1,26449104306989;1028;299,214903481122
0,0512;1,29590696960579;1030;298,325832760156
0,0514;1,30376095123976;1032;298,103565079915
0,0516;1,31946891450771;1034;297,659029719432
0,0518;1,32732289614169;1036;297,43676203919
0,052;1,35088484104361;1038;296,769958998466
0,0522;1,36659280431156;1040;296,325423637983
0,0524;1,39015474921348;1042;295,658620597258
0,0526;1,39800873084746;1044;295,436352917017
0,0528;1,42157067574938;1046;294,769549876293
0,053;1,42942465738336;1048;294,547282196051
0,0532;1,45298660228528;1050;293,880479155327
0,0534;1,46084058391925;1052;293,658211475085
0,0536;1,48440252882118;1054;292,991408434361
0,0538;1,50011049208913;1056;292,546873073878
0,054;1,51581845535708;1059;292,102337713395
0,0542;1,52367243699105;1061;291,880070033153
0,0544;1,539380400259;1063;291,43553467267
0,0546;1,56294234516092;1065;290,768731631946
0,0548;1,5707963267949;1067;290,546463951704
0,055;1,59435827169682;1069;289,87966091098
0,0552;1,61006623496477;1072;289,435125550497
0,0554;1,62577419823272;1074;288,990590190014
0,0556;1,64148216150067;1076;288,546054829531
0,0558;1,65719012476862;1078;288,101519469048
0,056;1,67289808803656;1081;287,656984108565
0,0562;1,69646003293849;1083;286,990181067841
0,0564;1,71216799620644;1085;286,545645707358
0,0566;1,72787595947439;1088;286,101110346875
0,0568;1,73572994110836;1090;285,878842666633
0,057;1,76714586764426;1092;284,989771945667
0,0572;1,77499984927823;1095;284,767504265426
0,0574;1,79856179418016;1097;284,100701224702
0,0576;1,81426975744811;1100;283,656165864219
0,0578;1,82997772071605;1102;283,211630503736
0,058;1,845685683984;1105;282,767095143253
0,0582;1,86139364725195;1107;282,32255978277
0,0584;1,8771016105199;1110;281,878024422287
0,0586;1,90066355542182;1112;281,211221381562
0,0588;1,91637151868977;1115;280,766686021079
0,059;1,93207948195772;1118;280,322150660596
0,0592;1,95564142685965;1121;279,655347619872
0,0594;1,96349540849362;1123;279,433079939631
0,0596;1,98705735339554;1126;278,766276898906
0,0598;1,99491133502952;1128;278,544009218665
0,06;2,02632726156542;1131;277,654938497699
0,0602;2,03418124319939;1134;277,432670817457
0,0604;2,04988920646734;1136;276,988135456974
0,0606;2,06559716973529;1139;276,543600096491
0,0608;2,08130513300324;1142;276,099064736008
0,061;2,09701309627119;1145;275,654529375525
0,0612;2,11272105953914;1148;275,209994015042
0,0614;2,13628300444106;1151;274,543190974318
0,0616;2,15199096770901;1153;274,098655613835
0,0618;2,16769893097696;1156;273,654120253352
