Zeit t / s;Weg s_A1 / cm;p;V
0,0964;1,72002197784041;1077;286,323378027116
0,0966;1,73572994110836;1081;285,878842666633
0,0968;1,75143790437631;1084;285,43430730615
0,097;1,78285383091221;1087;284,545236585185
0,0972;1,80641577581413;1091;283,87843354446
0,0974;1,82997772071605;1095;283,211630503736
0,0976;1,85353966561798;1098;282,544827463011
0,0978;1,88495559215388;1101;281,655756742045
0,098;1,89280957378785;1105;281,433489061804
0,0982;1,91637151868977;1109;280,766686021079
0,0984;1,94778744522567;1112;279,877615300113
0,0986;1,96349540849362;1116;279,433079939631
0,0988;1,97920337176157;1119;278,988544579148
0,099;2,01061929829747;1124;278,099473858182
0,0992;2,02632726156542;1127;277,654938497699
0,0994;2,04988920646734;1131;276,988135456974
0,0996;2,07345115136926;1135;276,32133241625
0,0998;2,10486707790516;1139;275,432261695284
0,1;2,12057504117311;1143;274,987726334801
0,1002;2,14413698607503;1147;274,320923294077
0,1004;2,16769893097696;1151;273,654120253352
0,1006;2,19126087587888;1154;272,987317212628
0,1008;2,20696883914683;1158;272,542781852145
0,101;2,23053078404875;1162;271,87597881142
0,1012;2,25409272895068;1166;271,209175770696
0,1014;2,26980069221863;1170;270,764640410213
0,1016;2,30121661875452;1174;269,875569689247
0,1018;2,32477856365645;1177;269,208766648523
0,102;2,34834050855837;1181;268,541963607798
0,1022;2,36404847182632;1185;268,097428247315
0,1024;2,39546439836222;1189;267,208357526349
0,1026;2,41117236163017;1193;266,763822165866
0,1028;2,42688032489812;1197;266,319286805383
0,103;2,45044226980004;1200;265,652483764659
0,1032;2,48185819633594;1204;264,763413043693
0,1034;2,49756615960389;1208;264,31887768321
0,1036;2,52112810450581;1212;263,652074642486
0,1038;2,54469004940773;1216;262,985271601761
0,104;2,56825199430966;1221;262,318468561037
0,1042;2,5839599575776;1225;261,873933200554
0,1044;2,6153758841135;1229;260,984862479588
0,1046;2,63108384738145;1233;260,540327119105
0,1048;2,6467918106494;1238;260,095791758622
0,105;2,67035375555132;1242;259,428988717898
0,1052;2,68606171881927;1246;258,984453357415
0,1054;2,7096236637212;1251;258,31765031669
0,1056;2,74103959025709;1255;257,428579595724
0,1058;2,75674755352504;1260;256,984044235241
0,106;2,77245551679299;1264;256,539508874758
0,1062;2,80387144332889;1269;255,650438153792
0,1064;2,82743338823081;1274;254,983635113068
0,1066;2,84314135149876;1278;254,539099752585
0,1068;2,86670329640069;1283;253,872296711861
0,107;2,88241125966864;1288;253,427761351378
0,1072;2,89811922293658;1293;252,983225990895
0,1074;2,92953514947248;1298;252,094155269929
0,1076;2,94524311274043;1302;251,649619909446
0,1078;2,96095107600838;1307;251,205084548963
0,108;2,99236700254428;1312;250,316013827997
0,1082;3,00807496581223;1317;249,871478467514
0,1084;3,02378292908018;1322;249,426943107031
0,1086;3,0473448739821;1327;248,760140066307
0,1088;3,06305283725005;1332;248,315604705824
0,109;3,078760800518;1337;247,871069345341
0,1092;3,1101767270539;1342;246,981998624375
0,1094;3,11803070868787;1348;246,759730944133
0,1096;3,14944663522377;1353;245,870660223167
0,1098;3,16515459849172;1358;245,426124862684
0,11;3,18086256175967;1363;244,981589502201
0,1102;3,20442450666159;1369;244,314786461477
0,1104;3,22013246992954;1374;243,870251100994
0,1106;3,24369441483146;1380;243,20344806027
0,1108;3,25940237809941;1385;242,758912699787
0,111;3,27511034136736;1390;242,314377339304
0,1112;3,30652626790326;1396;241,425306618338
0,1114;3,32223423117121;1401;240,980771257855
0,1116;3,33794219443916;1407;240,536235897372
0,1118;3,36150413934108;1413;239,869432856647
0,112;3,36935812097505;1418;239,647165176406
0,1122;3,39292006587698;1424;238,980362135682
0,1124;3,40862802914493;1429;238,535826775199
0,1126;3,42433599241287;1435;238,091291414716
0,1128;3,4478979373148;1441;237,424488373991
0,113;3,46360590058275;1447;236,979953013508
0,1132;3,48716784548467;1452;236,313149972784
0,1134;3,49502182711865;1458;236,090882292542
0,1136;3,51858377202057;1465;235,424079251818
0,1138;3,53429173528852;1470;234,979543891335
0,114;3,54999969855647;1477;234,535008530852
0,1142;3,57356164345839;1483;233,868205490128
0,1144;3,58141562509236;1489;233,645937809886
0,1146;3,60497756999429;1495;232,979134769162
0,1148;3,61283155162826;1501;232,75686708892
0,115;3,62853951489621;1508;232,312331728437
0,1152;3,64424747816416;1514;231,867796367954
0,1154;3,66780942306608;1520;231,20099332723
0,1156;3,68351738633403;1526;230,756457966747
0,1158;3,69922534960198;1532;230,311922606264
0,116;3,71493331286993;1538;229,867387245781
0,1162;3,73064127613788;1544;229,422851885298
0,1164;3,73849525777185;1550;229,200584205057
0,1166;3,76205720267378;1556;228,533781164332
0,1168;3,77776516594173;1562;228,089245803849
0,117;3,79347312920968;1568;227,644710443366
0,1172;3,80132711084365;1574;227,422442763125
0,1174;3,8170350741116;1580;226,977907402642
0,1176;3,83274303737955;1585;226,533372042159
0,1178;3,8484510006475;1590;226,088836681676
0,118;3,86415896391545;1596;225,644301321193
0,1182;3,87986692718339;1601;225,19976596071
0,1184;3,89557489045134;1606;224,755230600227
0,1186;3,89557489045134;1611;224,755230600227
0,1188;3,91913683535327;1616;224,088427559503
0,119;3,93484479862122;1621;223,64389219902
0,1192;3,95055276188916;1626;223,199356838537
0,1194;3,95840674352314;1631;222,977089158295
0,1196;3,96626072515711;1636;222,754821478054
0,1198;3,98982267005904;1640;222,088018437329
0,12;3,99767665169301;1645;221,865750757088
0,1202;4,01338461496096;1650;221,421215396605
0,1204;4,02123859659494;1654;221,198947716363
0,1206;4,02123859659494;1659;221,198947716363
0,1208;4,04480054149686;1664;220,532144675639
0,121;4,05265452313083;1670;220,309876995397
0,1212;4,06836248639878;1675;219,865341634914
0,1214;4,08407044966673;1680;219,420806274432
0,1216;4,08407044966673;1685;219,420806274432
0,1218;4,10763239456865;1691;218,754003233707
0,122;4,11548637620263;1696;218,531735553466
0,1222;4,1233403578366;1701;218,309467873224
0,1224;4,13904832110455;1707;217,864932512741
0,1226;4,14690230273853;1712;217,6426648325
