Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,U_H,,U,,T,
2026-05-07,16:07:01.970696,1778162821.970696,s,355.028024,s,43.5703125,mV,1.737375020980835,V,58.92499923706055,°C
2026-05-07,16:07:06.973909,1778162826.973909,s,360.031237,s,43.734375,mV,1.7352499961853027,V,58.5,°C
2026-05-07,16:07:11.971259,1778162831.971259,s,365.028587,s,43.8828125,mV,1.7330000400543213,V,58.099998474121094,°C
2026-05-07,16:07:16.974701,1778162836.974701,s,370.032029,s,44.015625,mV,1.730875015258789,V,57.70000076293945,°C
2026-05-07,16:07:21.971738,1778162841.971738,s,375.029066,s,44.1484375,mV,1.7285000085830688,V,57.3125,°C
2026-05-07,16:07:26.975286,1778162846.975286,s,380.032614,s,44.2734375,mV,1.7262500524520874,V,56.9375,°C
2026-05-07,16:07:31.972227,1778162851.972227,s,385.029555,s,44.390625,mV,1.7239999771118164,V,56.5625,°C
2026-05-07,16:07:36.976139,1778162856.976139,s,390.033467,s,44.5,mV,1.721750020980835,V,56.20000076293945,°C
2026-05-07,16:07:41.972724,1778162861.972724,s,395.030052,s,44.609375,mV,1.719499945640564,V,55.849998474121094,°C
2026-05-07,16:07:46.976756,1778162866.976756,s,400.034084,s,44.703125,mV,1.7172499895095825,V,55.51250076293945,°C
2026-05-07,16:07:51.973182,1778162871.973182,s,405.03051,s,44.7890625,mV,1.715000033378601,V,55.1875,°C
2026-05-07,16:07:56.977388,1778162876.977388,s,410.034716,s,44.8828125,mV,1.71274995803833,V,54.86249923706055,°C
2026-05-07,16:08:01.973675,1778162881.973675,s,415.031003,s,44.9609375,mV,1.7105000019073486,V,54.525001525878906,°C
2026-05-07,16:08:06.978033,1778162886.978033,s,420.035361,s,45.0390625,mV,1.7082500457763672,V,54.224998474121094,°C
2026-05-07,16:08:11.974037,1778162891.974037,s,425.031365,s,45.1171875,mV,1.706125020980835,V,53.92499923706055,°C
2026-05-07,16:08:16.979495,1778162896.979495,s,430.036823,s,45.1953125,mV,1.7039999961853027,V,53.63750076293945,°C
2026-05-07,16:08:21.974516,1778162901.974516,s,435.031844,s,45.2578125,mV,1.7017500400543213,V,53.349998474121094,°C
2026-05-07,16:08:26.980065,1778162906.980065,s,440.037393,s,45.328125,mV,1.699625015258789,V,53.07500076293945,°C
2026-05-07,16:08:31.975671,1778162911.975671,s,445.032999,s,45.390625,mV,1.6976250410079956,V,52.787498474121094,°C
2026-05-07,16:08:36.980603,1778162916.980603,s,450.037931,s,45.453125,mV,1.6955000162124634,V,52.525001525878906,°C
2026-05-07,16:08:41.975970,1778162921.97597,s,455.033298,s,45.5078125,mV,1.69350004196167,V,52.26250076293945,°C
2026-05-07,16:08:46.981120,1778162926.98112,s,460.038448,s,45.5703125,mV,1.691499948501587,V,52.01250076293945,°C
2026-05-07,16:08:51.976508,1778162931.976508,s,465.033836,s,45.625,mV,1.6894999742507935,V,51.76250076293945,°C
2026-05-07,16:08:56.981616,1778162936.981616,s,470.038944,s,45.671875,mV,1.6876250505447388,V,51.525001525878906,°C
2026-05-07,16:09:01.977048,1778162941.977048,s,475.034376,s,45.7265625,mV,1.6856249570846558,V,51.275001525878906,°C
2026-05-07,16:09:06.982970,1778162946.98297,s,480.040298,s,45.765625,mV,1.683750033378601,V,51.04999923706055,°C
2026-05-07,16:09:11.977587,1778162951.977587,s,485.034915,s,45.8125,mV,1.6820000410079956,V,50.8125,°C
2026-05-07,16:09:16.983501,1778162956.983501,s,490.040829,s,45.859375,mV,1.6801249980926514,V,50.599998474121094,°C
2026-05-07,16:09:21.978113,1778162961.978113,s,495.035441,s,45.8984375,mV,1.6782499551773071,V,50.375,°C
2026-05-07,16:09:26.983946,1778162966.983946,s,500.041274,s,45.9375,mV,1.6764999628067017,V,50.17499923706055,°C
2026-05-07,16:09:31.978625,1778162971.978625,s,505.035953,s,45.9765625,mV,1.6747499704360962,V,49.962501525878906,°C
2026-05-07,16:09:36.984487,1778162976.984487,s,510.041815,s,46.0078125,mV,1.6731250286102295,V,49.76250076293945,°C
2026-05-07,16:09:41.979200,1778162981.9792,s,515.036528,s,46.046875,mV,1.671375036239624,V,49.5625,°C
2026-05-07,16:09:46.984771,1778162986.984771,s,520.042099,s,46.078125,mV,1.6697499752044678,V,49.375,°C
2026-05-07,16:09:51.979737,1778162991.979737,s,525.037065,s,46.109375,mV,1.6679999828338623,V,49.1875,°C
2026-05-07,16:09:56.985305,1778162996.985305,s,530.042633,s,46.1484375,mV,1.6664999723434448,V,49.0,°C
2026-05-07,16:10:01.980245,1778163001.980245,s,535.037573,s,46.1640625,mV,1.6648750305175781,V,48.8125,°C
2026-05-07,16:10:06.986444,1778163006.986444,s,540.043772,s,46.1953125,mV,1.6633750200271606,V,48.650001525878906,°C
2026-05-07,16:10:11.980784,1778163011.980784,s,545.038112,s,46.21875,mV,1.6618750095367432,V,48.474998474121094,°C
2026-05-07,16:10:16.986743,1778163016.986743,s,550.044071,s,46.2421875,mV,1.6603749990463257,V,48.29999923706055,°C
2026-05-07,16:10:21.981277,1778163021.981277,s,555.038605,s,46.265625,mV,1.6588749885559082,V,48.13750076293945,°C
2026-05-07,16:10:26.987671,1778163026.987671,s,560.044999,s,46.296875,mV,1.6575000286102295,V,47.974998474121094,°C
2026-05-07,16:10:31.982770,1778163031.98277,s,565.040098,s,46.3203125,mV,1.6561249494552612,V,47.8125,°C
2026-05-07,16:10:36.988096,1778163036.988096,s,570.045424,s,46.3359375,mV,1.6547499895095825,V,47.662498474121094,°C
2026-05-07,16:10:41.984286,1778163041.984286,s,575.041614,s,46.359375,mV,1.6533750295639038,V,47.51250076293945,°C
2026-05-07,16:10:46.988433,1778163046.988433,s,580.045761,s,46.3828125,mV,1.6519999504089355,V,47.36249923706055,°C
2026-05-07,16:10:51.985655,1778163051.985655,s,585.042983,s,46.40625,mV,1.6507500410079956,V,47.224998474121094,°C
2026-05-07,16:10:56.988672,1778163056.988672,s,590.046,s,46.421875,mV,1.6493749618530273,V,47.07500076293945,°C
2026-05-07,16:11:01.986257,1778163061.986257,s,595.043585,s,46.4375,mV,1.6481250524520874,V,46.9375,°C
2026-05-07,16:11:06.989010,1778163066.98901,s,600.046338,s,46.453125,mV,1.646875023841858,V,46.79999923706055,°C
2026-05-07,16:11:11.987511,1778163071.987511,s,605.044839,s,46.4765625,mV,1.6456249952316284,V,46.662498474121094,°C
2026-05-07,16:11:16.989321,1778163076.989321,s,610.046649,s,46.4921875,mV,1.6445000171661377,V,46.537498474121094,°C
2026-05-07,16:11:21.988021,1778163081.988021,s,615.045349,s,46.5078125,mV,1.6432499885559082,V,46.400001525878906,°C
2026-05-07,16:11:26.989815,1778163086.989815,s,620.047143,s,46.5234375,mV,1.6421250104904175,V,46.287498474121094,°C
2026-05-07,16:11:31.988571,1778163091.988571,s,625.045899,s,46.5390625,mV,1.6410000324249268,V,46.150001525878906,°C
2026-05-07,16:11:36.990374,1778163096.990374,s,630.047702,s,46.5546875,mV,1.639875054359436,V,46.037498474121094,°C
2026-05-07,16:11:41.989751,1778163101.989751,s,635.047079,s,46.5703125,mV,1.6388750076293945,V,45.92499923706055,°C
2026-05-07,16:11:46.991448,1778163106.991448,s,640.048776,s,46.5859375,mV,1.6377500295639038,V,45.8125,°C
2026-05-07,16:11:51.991105,1778163111.991105,s,645.048433,s,46.59375,mV,1.6367499828338623,V,45.6875,°C
2026-05-07,16:11:56.992123,1778163116.992123,s,650.049451,s,46.6171875,mV,1.6356250047683716,V,45.587501525878906,°C
2026-05-07,16:12:01.991594,1778163121.991594,s,655.048922,s,46.625,mV,1.63462495803833,V,45.474998474121094,°C
2026-05-07,16:12:06.992653,1778163126.992653,s,660.049981,s,46.6328125,mV,1.6336250305175781,V,45.36249923706055,°C
2026-05-07,16:12:11.992509,1778163131.992509,s,665.049837,s,46.6484375,mV,1.6326249837875366,V,45.25,°C
2026-05-07,16:12:16.993197,1778163136.993197,s,670.050525,s,46.65625,mV,1.6317499876022339,V,45.150001525878906,°C
2026-05-07,16:12:21.993505,1778163141.993505,s,675.050833,s,46.671875,mV,1.6307499408721924,V,45.04999923706055,°C
2026-05-07,16:12:26.994682,1778163146.994682,s,680.05201,s,46.46875,mV,1.6296249628067017,V,44.962501525878906,°C
2026-05-07,16:12:31.994502,1778163151.994502,s,685.05183,s,46.5,mV,1.628749966621399,V,44.86249923706055,°C
2026-05-07,16:12:36.995156,1778163156.995156,s,690.052484,s,46.515625,mV,1.6278749704360962,V,44.76250076293945,°C
2026-05-07,16:12:41.994774,1778163161.994774,s,695.052102,s,46.53125,mV,1.6269999742507935,V,44.67499923706055,°C
2026-05-07,16:12:46.995716,1778163166.995716,s,700.053044,s,46.546875,mV,1.6261249780654907,V,44.57500076293945,°C
2026-05-07,16:12:51.995097,1778163171.995097,s,705.052425,s,46.5625,mV,1.625249981880188,V,44.48749923706055,°C
2026-05-07,16:12:56.996222,1778163176.996222,s,710.05355,s,46.578125,mV,1.6243749856948853,V,44.400001525878906,°C
2026-05-07,16:13:01.995355,1778163181.995355,s,715.052683,s,46.5859375,mV,1.6236250400543213,V,44.3125,°C
2026-05-07,16:13:06.997379,1778163186.997379,s,720.054707,s,46.6015625,mV,1.6227500438690186,V,44.224998474121094,°C
2026-05-07,16:13:11.995643,1778163191.995643,s,725.052971,s,46.6171875,mV,1.621999979019165,V,44.13750076293945,°C
2026-05-07,16:13:16.997980,1778163196.99798,s,730.055308,s,46.6171875,mV,1.621250033378601,V,44.0625,°C
2026-05-07,16:13:21.995976,1778163201.995976,s,735.053304,s,46.6328125,mV,1.6204999685287476,V,43.974998474121094,°C
2026-05-07,16:13:26.999326,1778163206.999326,s,740.056654,s,46.6484375,mV,1.6197500228881836,V,43.900001525878906,°C
2026-05-07,16:13:31.996337,1778163211.996337,s,745.053665,s,46.6484375,mV,1.61899995803833,V,43.8125,°C
2026-05-07,16:13:36.999934,1778163216.999934,s,750.057262,s,46.6640625,mV,1.6182500123977661,V,43.73749923706055,°C
2026-05-07,16:13:41.996822,1778163221.996822,s,755.05415,s,46.671875,mV,1.6174999475479126,V,43.662498474121094,°C
2026-05-07,16:13:47.000508,1778163227.000508,s,760.057836,s,46.6640625,mV,1.6168750524520874,V,43.599998474121094,°C
2026-05-07,16:13:51.997297,1778163231.997297,s,765.054625,s,46.6796875,mV,1.6161249876022339,V,43.51250076293945,°C
2026-05-07,16:13:57.001673,1778163237.001673,s,770.059001,s,46.6875,mV,1.6154999732971191,V,43.45000076293945,°C
2026-05-07,16:14:01.997845,1778163241.997845,s,775.055173,s,46.703125,mV,1.6147500276565552,V,43.375,°C
2026-05-07,16:14:07.002230,1778163247.00223,s,780.059558,s,46.7109375,mV,1.6141250133514404,V,43.3125,°C
2026-05-07,16:14:11.998378,1778163251.998378,s,785.055706,s,46.7109375,mV,1.613374948501587,V,43.23749923706055,°C
2026-05-07,16:14:17.003567,1778163257.003567,s,790.060895,s,46.71875,mV,1.6127500534057617,V,43.162498474121094,°C
2026-05-07,16:14:21.998751,1778163261.998751,s,795.056079,s,46.7265625,mV,1.612125039100647,V,43.099998474121094,°C
2026-05-07,16:14:27.004920,1778163267.00492,s,800.062248,s,46.734375,mV,1.6115000247955322,V,43.037498474121094,°C
2026-05-07,16:14:31.999228,1778163271.999228,s,805.056556,s,46.7421875,mV,1.6108750104904175,V,42.974998474121094,°C
2026-05-07,16:14:37.005458,1778163277.005458,s,810.062786,s,46.7421875,mV,1.6103750467300415,V,42.912498474121094,°C
2026-05-07,16:14:42.000672,1778163282.000672,s,815.058,s,46.75,mV,1.6097500324249268,V,42.849998474121094,°C
2026-05-07,16:14:47.006514,1778163287.006514,s,820.063842,s,46.7578125,mV,1.609125018119812,V,42.787498474121094,°C
2026-05-07,16:14:52.001140,1778163292.00114,s,825.058468,s,46.765625,mV,1.6085000038146973,V,42.724998474121094,°C
2026-05-07,16:14:57.007831,1778163297.007831,s,830.065159,s,46.765625,mV,1.6080000400543213,V,42.67499923706055,°C
2026-05-07,16:15:02.001513,1778163302.001513,s,835.058841,s,46.7734375,mV,1.6073750257492065,V,42.61249923706055,°C
