Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,temp,
2025-12-12,10:28:06.899443,1765531686.899443,s,27.272951,s,72.0,°C
2025-12-12,10:28:07.147631,1765531687.147631,s,27.521139,s,72.0,°C
2025-12-12,10:28:07.399844,1765531687.399844,s,27.773352,s,72.0,°C
2025-12-12,10:28:07.647874,1765531687.647874,s,28.021382,s,72.0,°C
2025-12-12,10:28:07.900304,1765531687.900304,s,28.273812,s,71.0,°C
2025-12-12,10:28:08.148276,1765531688.148276,s,28.521784,s,71.0,°C
2025-12-12,10:28:08.400673,1765531688.400673,s,28.774181,s,71.0,°C
2025-12-12,10:28:08.648676,1765531688.648676,s,29.022184,s,71.0,°C
2025-12-12,10:28:08.901134,1765531688.901134,s,29.274642,s,71.0,°C
2025-12-12,10:28:09.148924,1765531689.148924,s,29.522432,s,71.0,°C
2025-12-12,10:28:09.401510,1765531689.40151,s,29.775018,s,71.0,°C
2025-12-12,10:28:09.649303,1765531689.649303,s,30.022811,s,71.0,°C
2025-12-12,10:28:09.901878,1765531689.901878,s,30.275386,s,71.0,°C
2025-12-12,10:28:10.149651,1765531690.149651,s,30.523159,s,71.0,°C
2025-12-12,10:28:10.402476,1765531690.402476,s,30.775984,s,71.0,°C
2025-12-12,10:28:10.650001,1765531690.650001,s,31.023509,s,71.0,°C
2025-12-12,10:28:10.902820,1765531690.90282,s,31.276328,s,71.0,°C
2025-12-12,10:28:11.150385,1765531691.150385,s,31.523893,s,71.0,°C
2025-12-12,10:28:11.403098,1765531691.403098,s,31.776606,s,71.0,°C
2025-12-12,10:28:11.650738,1765531691.650738,s,32.024246,s,71.0,°C
2025-12-12,10:28:11.903465,1765531691.903465,s,32.276973,s,71.0,°C
2025-12-12,10:28:12.151071,1765531692.151071,s,32.524579,s,71.0,°C
2025-12-12,10:28:12.403828,1765531692.403828,s,32.777336,s,71.0,°C
2025-12-12,10:28:12.651350,1765531692.65135,s,33.024858,s,71.0,°C
2025-12-12,10:28:12.904328,1765531692.904328,s,33.277836,s,71.0,°C
2025-12-12,10:28:13.151701,1765531693.151701,s,33.525209,s,71.0,°C
2025-12-12,10:28:13.404703,1765531693.404703,s,33.778211,s,71.0,°C
2025-12-12,10:28:13.651953,1765531693.651953,s,34.025461,s,71.0,°C
2025-12-12,10:28:13.904947,1765531693.904947,s,34.278455,s,72.0,°C
2025-12-12,10:28:14.152455,1765531694.152455,s,34.525963,s,72.0,°C
2025-12-12,10:28:14.405371,1765531694.405371,s,34.778879,s,72.0,°C
2025-12-12,10:28:14.652927,1765531694.652927,s,35.026435,s,72.0,°C
2025-12-12,10:28:14.905796,1765531694.905796,s,35.279304,s,72.0,°C
2025-12-12,10:28:15.153392,1765531695.153392,s,35.5269,s,72.0,°C
2025-12-12,10:28:15.406131,1765531695.406131,s,35.779639,s,72.0,°C
2025-12-12,10:28:15.653868,1765531695.653868,s,36.027376,s,71.0,°C
2025-12-12,10:28:15.906552,1765531695.906552,s,36.28006,s,71.0,°C
2025-12-12,10:28:16.154320,1765531696.15432,s,36.527828,s,71.0,°C
2025-12-12,10:28:16.406992,1765531696.406992,s,36.7805,s,71.0,°C
2025-12-12,10:28:16.654829,1765531696.654829,s,37.028337,s,72.0,°C
2025-12-12,10:28:16.907316,1765531696.907316,s,37.280824,s,72.0,°C
2025-12-12,10:28:17.155099,1765531697.155099,s,37.528607,s,72.0,°C
2025-12-12,10:28:17.407626,1765531697.407626,s,37.781134,s,72.0,°C
2025-12-12,10:28:17.655553,1765531697.655553,s,38.029061,s,72.0,°C
2025-12-12,10:28:17.907887,1765531697.907887,s,38.281395,s,71.0,°C
2025-12-12,10:28:18.155846,1765531698.155846,s,38.529354,s,71.0,°C
2025-12-12,10:28:18.408207,1765531698.408207,s,38.781715,s,71.0,°C
2025-12-12,10:28:18.656367,1765531698.656367,s,39.029875,s,71.0,°C
2025-12-12,10:28:18.908527,1765531698.908527,s,39.282035,s,71.0,°C
2025-12-12,10:28:19.156839,1765531699.156839,s,39.530347,s,72.0,°C
2025-12-12,10:28:19.408929,1765531699.408929,s,39.782437,s,72.0,°C
2025-12-12,10:28:19.657200,1765531699.6572,s,40.030708,s,72.0,°C
2025-12-12,10:28:19.909268,1765531699.909268,s,40.282776,s,72.0,°C
2025-12-12,10:28:20.157587,1765531700.157587,s,40.531095,s,72.0,°C
2025-12-12,10:28:20.409520,1765531700.40952,s,40.783028,s,72.0,°C
2025-12-12,10:28:20.657842,1765531700.657842,s,41.03135,s,72.0,°C
2025-12-12,10:28:20.910060,1765531700.91006,s,41.283568,s,72.0,°C
2025-12-12,10:28:21.158178,1765531701.158178,s,41.531686,s,72.0,°C
2025-12-12,10:28:21.410590,1765531701.41059,s,41.784098,s,72.0,°C
2025-12-12,10:28:21.658551,1765531701.658551,s,42.032059,s,72.0,°C
2025-12-12,10:28:21.911113,1765531701.911113,s,42.284621,s,72.0,°C
2025-12-12,10:28:22.159079,1765531702.159079,s,42.532587,s,72.0,°C
2025-12-12,10:28:22.411502,1765531702.411502,s,42.78501,s,72.0,°C
2025-12-12,10:28:22.659596,1765531702.659596,s,43.033104,s,71.0,°C
2025-12-12,10:28:22.912085,1765531702.912085,s,43.285593,s,71.0,°C
2025-12-12,10:28:23.159862,1765531703.159862,s,43.53337,s,71.0,°C
2025-12-12,10:28:23.412605,1765531703.412605,s,43.786113,s,71.0,°C
2025-12-12,10:28:23.660315,1765531703.660315,s,44.033823,s,71.0,°C
2025-12-12,10:28:23.913085,1765531703.913085,s,44.286593,s,71.0,°C
2025-12-12,10:28:24.160710,1765531704.16071,s,44.534218,s,71.0,°C
2025-12-12,10:28:24.413566,1765531704.413566,s,44.787074,s,72.0,°C
2025-12-12,10:28:24.661083,1765531704.661083,s,45.034591,s,72.0,°C
2025-12-12,10:28:24.913847,1765531704.913847,s,45.287355,s,71.0,°C
2025-12-12,10:28:25.161580,1765531705.16158,s,45.535088,s,71.0,°C
2025-12-12,10:28:25.414217,1765531705.414217,s,45.787725,s,71.0,°C
2025-12-12,10:28:25.662105,1765531705.662105,s,46.035613,s,71.0,°C
2025-12-12,10:28:25.914566,1765531705.914566,s,46.288074,s,71.0,°C
2025-12-12,10:28:26.162508,1765531706.162508,s,46.536016,s,72.0,°C
2025-12-12,10:28:26.414841,1765531706.414841,s,46.788349,s,72.0,°C
2025-12-12,10:28:26.662879,1765531706.662879,s,47.036387,s,72.0,°C
2025-12-12,10:28:26.915083,1765531706.915083,s,47.288591,s,72.0,°C
2025-12-12,10:28:27.163126,1765531707.163126,s,47.536634,s,72.0,°C
2025-12-12,10:28:27.415562,1765531707.415562,s,47.78907,s,72.0,°C
2025-12-12,10:28:27.663562,1765531707.663562,s,48.03707,s,72.0,°C
2025-12-12,10:28:27.916009,1765531707.916009,s,48.289517,s,72.0,°C
2025-12-12,10:28:28.164060,1765531708.16406,s,48.537568,s,72.0,°C
2025-12-12,10:28:28.416555,1765531708.416555,s,48.790063,s,72.0,°C
2025-12-12,10:28:28.664396,1765531708.664396,s,49.037904,s,72.0,°C
2025-12-12,10:28:28.916984,1765531708.916984,s,49.290492,s,72.0,°C
2025-12-12,10:28:29.164834,1765531709.164834,s,49.538342,s,71.0,°C
2025-12-12,10:28:29.417382,1765531709.417382,s,49.79089,s,71.0,°C
2025-12-12,10:28:29.665272,1765531709.665272,s,50.03878,s,71.0,°C
2025-12-12,10:28:29.918019,1765531709.918019,s,50.291527,s,71.0,°C
2025-12-12,10:28:30.165616,1765531710.165616,s,50.539124,s,71.0,°C
2025-12-12,10:28:30.418417,1765531710.418417,s,50.791925,s,71.0,°C
2025-12-12,10:28:30.665845,1765531710.665845,s,51.039353,s,71.0,°C
2025-12-12,10:28:30.918821,1765531710.918821,s,51.292329,s,72.0,°C
2025-12-12,10:28:31.166257,1765531711.166257,s,51.539765,s,72.0,°C
2025-12-12,10:28:31.419044,1765531711.419044,s,51.792552,s,71.0,°C
2025-12-12,10:28:31.666679,1765531711.666679,s,52.040187,s,71.0,°C
2025-12-12,10:28:31.919377,1765531711.919377,s,52.292885,s,71.0,°C
2025-12-12,10:28:32.167150,1765531712.16715,s,52.540658,s,71.0,°C
2025-12-12,10:28:32.419663,1765531712.419663,s,52.793171,s,71.0,°C
2025-12-12,10:28:32.667659,1765531712.667659,s,53.041167,s,72.0,°C
2025-12-12,10:28:32.919997,1765531712.919997,s,53.293505,s,72.0,°C
2025-12-12,10:28:33.168168,1765531713.168168,s,53.541676,s,72.0,°C
2025-12-12,10:28:33.420317,1765531713.420317,s,53.793825,s,72.0,°C
2025-12-12,10:28:33.668527,1765531713.668527,s,54.042035,s,72.0,°C
2025-12-12,10:28:33.920734,1765531713.920734,s,54.294242,s,72.0,°C
2025-12-12,10:28:34.168989,1765531714.168989,s,54.542497,s,72.0,°C
2025-12-12,10:28:34.420956,1765531714.420956,s,54.794464,s,71.0,°C
2025-12-12,10:28:34.669470,1765531714.66947,s,55.042978,s,71.0,°C
2025-12-12,10:28:34.921451,1765531714.921451,s,55.294959,s,71.0,°C
2025-12-12,10:28:35.169807,1765531715.169807,s,55.543315,s,71.0,°C
2025-12-12,10:28:35.421880,1765531715.42188,s,55.795388,s,72.0,°C
2025-12-12,10:28:35.670271,1765531715.670271,s,56.043779,s,72.0,°C
2025-12-12,10:28:35.922350,1765531715.92235,s,56.295858,s,72.0,°C
2025-12-12,10:28:36.170746,1765531716.170746,s,56.544254,s,71.0,°C
2025-12-12,10:28:36.422856,1765531716.422856,s,56.796364,s,71.0,°C
2025-12-12,10:28:36.671175,1765531716.671175,s,57.044683,s,71.0,°C
2025-12-12,10:28:36.923355,1765531716.923355,s,57.296863,s,71.0,°C
2025-12-12,10:28:37.171637,1765531717.171637,s,57.545145,s,71.0,°C
2025-12-12,10:28:37.423708,1765531717.423708,s,57.797216,s,72.0,°C
2025-12-12,10:28:37.672119,1765531717.672119,s,58.045627,s,72.0,°C
2025-12-12,10:28:37.923976,1765531717.923976,s,58.297484,s,71.0,°C
2025-12-12,10:28:38.172568,1765531718.172568,s,58.546076,s,71.0,°C
2025-12-12,10:28:38.424351,1765531718.424351,s,58.797859,s,71.0,°C
2025-12-12,10:28:38.672815,1765531718.672815,s,59.046323,s,71.0,°C
2025-12-12,10:28:38.924881,1765531718.924881,s,59.298389,s,71.0,°C
2025-12-12,10:28:39.173265,1765531719.173265,s,59.546773,s,72.0,°C
2025-12-12,10:28:39.425251,1765531719.425251,s,59.798759,s,72.0,°C
2025-12-12,10:28:39.673691,1765531719.673691,s,60.047199,s,71.0,°C
2025-12-12,10:28:39.925594,1765531719.925594,s,60.299102,s,71.0,°C
2025-12-12,10:28:40.174137,1765531720.174137,s,60.547645,s,71.0,°C
2025-12-12,10:28:40.425812,1765531720.425812,s,60.79932,s,71.0,°C
2025-12-12,10:28:40.674472,1765531720.674472,s,61.04798,s,71.0,°C
2025-12-12,10:28:40.926271,1765531720.926271,s,61.299779,s,72.0,°C
2025-12-12,10:28:41.174811,1765531721.174811,s,61.548319,s,72.0,°C
2025-12-12,10:28:41.426635,1765531721.426635,s,61.800143,s,72.0,°C
2025-12-12,10:28:41.675057,1765531721.675057,s,62.048565,s,72.0,°C
2025-12-12,10:28:41.926977,1765531721.926977,s,62.300485,s,72.0,°C
2025-12-12,10:28:42.175600,1765531722.1756,s,62.549108,s,72.0,°C
2025-12-12,10:28:42.427441,1765531722.427441,s,62.800949,s,72.0,°C
2025-12-12,10:28:42.676084,1765531722.676084,s,63.049592,s,72.0,°C
2025-12-12,10:28:42.927993,1765531722.927993,s,63.301501,s,72.0,°C
2025-12-12,10:28:43.176435,1765531723.176435,s,63.549943,s,72.0,°C
2025-12-12,10:28:43.428427,1765531723.428427,s,63.801935,s,72.0,°C
2025-12-12,10:28:43.676774,1765531723.676774,s,64.050282,s,72.0,°C
2025-12-12,10:28:43.928774,1765531723.928774,s,64.302282,s,72.0,°C
2025-12-12,10:28:44.177291,1765531724.177291,s,64.550799,s,72.0,°C
2025-12-12,10:28:44.429173,1765531724.429173,s,64.802681,s,71.0,°C
2025-12-12,10:28:44.677672,1765531724.677672,s,65.05118,s,71.0,°C
2025-12-12,10:28:44.929572,1765531724.929572,s,65.30308,s,71.0,°C
2025-12-12,10:28:45.177938,1765531725.177938,s,65.551446,s,71.0,°C
2025-12-12,10:28:45.429825,1765531725.429825,s,65.803333,s,71.0,°C
2025-12-12,10:28:45.678448,1765531725.678448,s,66.051956,s,71.0,°C
2025-12-12,10:28:45.930072,1765531725.930072,s,66.30358,s,71.0,°C
2025-12-12,10:28:46.178794,1765531726.178794,s,66.552302,s,71.0,°C
2025-12-12,10:28:46.430402,1765531726.430402,s,66.80391,s,71.0,°C
2025-12-12,10:28:46.679050,1765531726.67905,s,67.052558,s,71.0,°C
2025-12-12,10:28:46.930697,1765531726.930697,s,67.304205,s,71.0,°C
2025-12-12,10:28:47.179545,1765531727.179545,s,67.553053,s,71.0,°C
2025-12-12,10:28:47.431098,1765531727.431098,s,67.804606,s,71.0,°C
2025-12-12,10:28:47.680116,1765531727.680116,s,68.053624,s,71.0,°C
2025-12-12,10:28:47.931421,1765531727.931421,s,68.304929,s,71.0,°C
2025-12-12,10:28:48.180600,1765531728.1806,s,68.554108,s,71.0,°C
2025-12-12,10:28:48.431806,1765531728.431806,s,68.805314,s,71.0,°C
2025-12-12,10:28:48.681066,1765531728.681066,s,69.054574,s,71.0,°C
2025-12-12,10:28:48.932045,1765531728.932045,s,69.305553,s,72.0,°C
2025-12-12,10:28:49.181313,1765531729.181313,s,69.554821,s,72.0,°C
2025-12-12,10:28:49.432360,1765531729.43236,s,69.805868,s,72.0,°C
2025-12-12,10:28:49.681720,1765531729.68172,s,70.055228,s,71.0,°C
2025-12-12,10:28:49.932894,1765531729.932894,s,70.306402,s,71.0,°C
2025-12-12,10:28:50.182265,1765531730.182265,s,70.555773,s,71.0,°C
2025-12-12,10:28:50.433401,1765531730.433401,s,70.806909,s,71.0,°C
2025-12-12,10:28:50.682713,1765531730.682713,s,71.056221,s,71.0,°C
2025-12-12,10:28:50.933966,1765531730.933966,s,71.307474,s,71.0,°C
