Date,Time,Time since 1970-01-01T00:00:00Z,,t,,T,
2025-12-02,14:16:27.701480,1764681387.70148,s,26.519446,s,67.0,°C
2025-12-02,14:16:27.952459,1764681387.952459,s,26.770425,s,67.0,°C
2025-12-02,14:16:28.201771,1764681388.201771,s,27.019737,s,67.0,°C
2025-12-02,14:16:28.452904,1764681388.452904,s,27.27087,s,67.0,°C
2025-12-02,14:16:28.701998,1764681388.701998,s,27.519964,s,67.0,°C
2025-12-02,14:16:28.953372,1764681388.953372,s,27.771338,s,67.0,°C
2025-12-02,14:16:29.202427,1764681389.202427,s,28.020393,s,67.0,°C
2025-12-02,14:16:29.453830,1764681389.45383,s,28.271796,s,67.0,°C
2025-12-02,14:16:29.702877,1764681389.702877,s,28.520843,s,67.0,°C
2025-12-02,14:16:29.954284,1764681389.954284,s,28.77225,s,67.0,°C
2025-12-02,14:16:30.203141,1764681390.203141,s,29.021107,s,67.0,°C
2025-12-02,14:16:30.454523,1764681390.454523,s,29.272489,s,67.0,°C
2025-12-02,14:16:30.703564,1764681390.703564,s,29.52153,s,67.0,°C
2025-12-02,14:16:30.954853,1764681390.954853,s,29.772819,s,67.0,°C
2025-12-02,14:16:31.203920,1764681391.20392,s,30.021886,s,67.0,°C
2025-12-02,14:16:31.455162,1764681391.455162,s,30.273128,s,67.0,°C
2025-12-02,14:16:31.704441,1764681391.704441,s,30.522407,s,67.0,°C
2025-12-02,14:16:31.955445,1764681391.955445,s,30.773411,s,67.0,°C
2025-12-02,14:16:32.204895,1764681392.204895,s,31.022861,s,67.0,°C
2025-12-02,14:16:32.455654,1764681392.455654,s,31.27362,s,67.0,°C
2025-12-02,14:16:32.705346,1764681392.705346,s,31.523312,s,67.0,°C
2025-12-02,14:16:32.955907,1764681392.955907,s,31.773873,s,67.0,°C
2025-12-02,14:16:33.205676,1764681393.205676,s,32.023642,s,67.0,°C
2025-12-02,14:16:33.456217,1764681393.456217,s,32.274183,s,67.0,°C
2025-12-02,14:16:33.706145,1764681393.706145,s,32.524111,s,67.0,°C
2025-12-02,14:16:33.956508,1764681393.956508,s,32.774474,s,67.0,°C
2025-12-02,14:16:34.206481,1764681394.206481,s,33.024447,s,67.0,°C
2025-12-02,14:16:34.456928,1764681394.456928,s,33.274894,s,67.0,°C
2025-12-02,14:16:34.706709,1764681394.706709,s,33.524675,s,67.0,°C
2025-12-02,14:16:34.957349,1764681394.957349,s,33.775315,s,67.0,°C
2025-12-02,14:16:35.206966,1764681395.206966,s,34.024932,s,67.0,°C
2025-12-02,14:16:35.457830,1764681395.45783,s,34.275796,s,67.0,°C
2025-12-02,14:16:35.707281,1764681395.707281,s,34.525247,s,67.0,°C
2025-12-02,14:16:35.958294,1764681395.958294,s,34.77626,s,67.0,°C
2025-12-02,14:16:36.207611,1764681396.207611,s,35.025577,s,67.0,°C
2025-12-02,14:16:36.458761,1764681396.458761,s,35.276727,s,67.0,°C
2025-12-02,14:16:36.707918,1764681396.707918,s,35.525884,s,67.0,°C
2025-12-02,14:16:36.959261,1764681396.959261,s,35.777227,s,67.0,°C
2025-12-02,14:16:37.208148,1764681397.208148,s,36.026114,s,67.0,°C
2025-12-02,14:16:37.459725,1764681397.459725,s,36.277691,s,67.0,°C
2025-12-02,14:16:37.708460,1764681397.70846,s,36.526426,s,67.0,°C
2025-12-02,14:16:37.960003,1764681397.960003,s,36.777969,s,67.0,°C
2025-12-02,14:16:38.208689,1764681398.208689,s,37.026655,s,67.0,°C
2025-12-02,14:16:38.460522,1764681398.460522,s,37.278488,s,67.0,°C
2025-12-02,14:16:38.709030,1764681398.70903,s,37.526996,s,67.0,°C
2025-12-02,14:16:38.960994,1764681398.960994,s,37.77896,s,67.0,°C
2025-12-02,14:16:39.209385,1764681399.209385,s,38.027351,s,67.0,°C
2025-12-02,14:16:39.461450,1764681399.46145,s,38.279416,s,67.0,°C
2025-12-02,14:16:39.709720,1764681399.70972,s,38.527686,s,67.0,°C
2025-12-02,14:16:39.961903,1764681399.961903,s,38.779869,s,67.0,°C
2025-12-02,14:16:40.209961,1764681400.209961,s,39.027927,s,67.0,°C
2025-12-02,14:16:40.462342,1764681400.462342,s,39.280308,s,67.0,°C
2025-12-02,14:16:40.710371,1764681400.710371,s,39.528337,s,67.0,°C
2025-12-02,14:16:40.962744,1764681400.962744,s,39.78071,s,67.0,°C
2025-12-02,14:16:41.210832,1764681401.210832,s,40.028798,s,67.0,°C
2025-12-02,14:16:41.463002,1764681401.463002,s,40.280968,s,67.0,°C
2025-12-02,14:16:41.711213,1764681401.711213,s,40.529179,s,67.0,°C
2025-12-02,14:16:41.963442,1764681401.963442,s,40.781408,s,67.0,°C
2025-12-02,14:16:42.211651,1764681402.211651,s,41.029617,s,67.0,°C
2025-12-02,14:16:42.463780,1764681402.46378,s,41.281746,s,67.0,°C
2025-12-02,14:16:42.711942,1764681402.711942,s,41.529908,s,67.0,°C
2025-12-02,14:16:42.964035,1764681402.964035,s,41.782001,s,67.0,°C
2025-12-02,14:16:43.212350,1764681403.21235,s,42.030316,s,67.0,°C
2025-12-02,14:16:43.464359,1764681403.464359,s,42.282325,s,67.0,°C
2025-12-02,14:16:43.712810,1764681403.71281,s,42.530776,s,67.0,°C
2025-12-02,14:16:43.964693,1764681403.964693,s,42.782659,s,67.0,°C
2025-12-02,14:16:44.213060,1764681404.21306,s,43.031026,s,67.0,°C
2025-12-02,14:16:44.464990,1764681404.46499,s,43.282956,s,67.0,°C
2025-12-02,14:16:44.713433,1764681404.713433,s,43.531399,s,67.0,°C
2025-12-02,14:16:44.965314,1764681404.965314,s,43.78328,s,67.0,°C
2025-12-02,14:16:45.213772,1764681405.213772,s,44.031738,s,67.0,°C
2025-12-02,14:16:45.465643,1764681405.465643,s,44.283609,s,67.0,°C
2025-12-02,14:16:45.714008,1764681405.714008,s,44.531974,s,67.0,°C
2025-12-02,14:16:45.965920,1764681405.96592,s,44.783886,s,67.0,°C
2025-12-02,14:16:46.214333,1764681406.214333,s,45.032299,s,67.0,°C
2025-12-02,14:16:46.466210,1764681406.46621,s,45.284176,s,67.0,°C
2025-12-02,14:16:46.714818,1764681406.714818,s,45.532784,s,67.0,°C
2025-12-02,14:16:46.966462,1764681406.966462,s,45.784428,s,67.0,°C
2025-12-02,14:16:47.215044,1764681407.215044,s,46.03301,s,67.0,°C
2025-12-02,14:16:47.466751,1764681407.466751,s,46.284717,s,67.0,°C
2025-12-02,14:16:47.715467,1764681407.715467,s,46.533433,s,67.0,°C
2025-12-02,14:16:47.967057,1764681407.967057,s,46.785023,s,67.0,°C
2025-12-02,14:16:48.215939,1764681408.215939,s,47.033905,s,67.0,°C
2025-12-02,14:16:48.467579,1764681408.467579,s,47.285545,s,67.0,°C
2025-12-02,14:16:48.716385,1764681408.716385,s,47.534351,s,67.0,°C
2025-12-02,14:16:48.968046,1764681408.968046,s,47.786012,s,67.0,°C
2025-12-02,14:16:49.216806,1764681409.216806,s,48.034772,s,67.0,°C
2025-12-02,14:16:49.468487,1764681409.468487,s,48.286453,s,67.0,°C
2025-12-02,14:16:49.716997,1764681409.716997,s,48.534963,s,67.0,°C
2025-12-02,14:16:49.968932,1764681409.968932,s,48.786898,s,67.0,°C
2025-12-02,14:16:50.217299,1764681410.217299,s,49.035265,s,67.0,°C
2025-12-02,14:16:50.469378,1764681410.469378,s,49.287344,s,67.0,°C
2025-12-02,14:16:50.717603,1764681410.717603,s,49.535569,s,67.0,°C
2025-12-02,14:16:50.969834,1764681410.969834,s,49.7878,s,67.0,°C
2025-12-02,14:16:51.217906,1764681411.217906,s,50.035872,s,67.0,°C
2025-12-02,14:16:51.470498,1764681411.470498,s,50.288464,s,67.0,°C
2025-12-02,14:16:51.718206,1764681411.718206,s,50.536172,s,67.0,°C
2025-12-02,14:16:51.970848,1764681411.970848,s,50.788814,s,67.0,°C
2025-12-02,14:16:52.218521,1764681412.218521,s,51.036487,s,67.0,°C
2025-12-02,14:16:52.471163,1764681412.471163,s,51.289129,s,67.0,°C
2025-12-02,14:16:52.718784,1764681412.718784,s,51.53675,s,67.0,°C
2025-12-02,14:16:52.971514,1764681412.971514,s,51.78948,s,67.0,°C
2025-12-02,14:16:53.219113,1764681413.219113,s,52.037079,s,67.0,°C
2025-12-02,14:16:53.471856,1764681413.471856,s,52.289822,s,67.0,°C
2025-12-02,14:16:53.719443,1764681413.719443,s,52.537409,s,67.0,°C
2025-12-02,14:16:53.972086,1764681413.972086,s,52.790052,s,67.0,°C
2025-12-02,14:16:54.219678,1764681414.219678,s,53.037644,s,67.0,°C
2025-12-02,14:16:54.472570,1764681414.47257,s,53.290536,s,67.0,°C
2025-12-02,14:16:54.719996,1764681414.719996,s,53.537962,s,67.0,°C
2025-12-02,14:16:54.972995,1764681414.972995,s,53.790961,s,67.0,°C
2025-12-02,14:16:55.220340,1764681415.22034,s,54.038306,s,67.0,°C
2025-12-02,14:16:55.473417,1764681415.473417,s,54.291383,s,67.0,°C
2025-12-02,14:16:55.720683,1764681415.720683,s,54.538649,s,67.0,°C
2025-12-02,14:16:55.973735,1764681415.973735,s,54.791701,s,67.0,°C
2025-12-02,14:16:56.221159,1764681416.221159,s,55.039125,s,67.0,°C
2025-12-02,14:16:56.473985,1764681416.473985,s,55.291951,s,67.0,°C
2025-12-02,14:16:56.721609,1764681416.721609,s,55.539575,s,67.0,°C
2025-12-02,14:16:56.974289,1764681416.974289,s,55.792255,s,67.0,°C
2025-12-02,14:16:57.221932,1764681417.221932,s,56.039898,s,67.0,°C
2025-12-02,14:16:57.474604,1764681417.474604,s,56.29257,s,67.0,°C
2025-12-02,14:16:57.722154,1764681417.722154,s,56.54012,s,67.0,°C
2025-12-02,14:16:57.974822,1764681417.974822,s,56.792788,s,67.0,°C
2025-12-02,14:16:58.222614,1764681418.222614,s,57.04058,s,67.0,°C
2025-12-02,14:16:58.475058,1764681418.475058,s,57.293024,s,67.0,°C
2025-12-02,14:16:58.723025,1764681418.723025,s,57.540991,s,67.0,°C
2025-12-02,14:16:58.975377,1764681418.975377,s,57.793343,s,67.0,°C
2025-12-02,14:16:59.223362,1764681419.223362,s,58.041328,s,67.0,°C
2025-12-02,14:16:59.475678,1764681419.475678,s,58.293644,s,67.0,°C
2025-12-02,14:16:59.723683,1764681419.723683,s,58.541649,s,67.0,°C
2025-12-02,14:16:59.976116,1764681419.976116,s,58.794082,s,67.0,°C
2025-12-02,14:17:00.224143,1764681420.224143,s,59.042109,s,67.0,°C
2025-12-02,14:17:00.476487,1764681420.476487,s,59.294453,s,67.0,°C
2025-12-02,14:17:00.724604,1764681420.724604,s,59.54257,s,67.0,°C
2025-12-02,14:17:00.976789,1764681420.976789,s,59.794755,s,67.0,°C
2025-12-02,14:17:01.224931,1764681421.224931,s,60.042897,s,67.0,°C
2025-12-02,14:17:01.477042,1764681421.477042,s,60.295008,s,67.0,°C
2025-12-02,14:17:01.725447,1764681421.725447,s,60.543413,s,67.0,°C
2025-12-02,14:17:01.977500,1764681421.9775,s,60.795466,s,67.0,°C
2025-12-02,14:17:02.225888,1764681422.225888,s,61.043854,s,67.0,°C
2025-12-02,14:17:02.477967,1764681422.477967,s,61.295933,s,67.0,°C
2025-12-02,14:17:02.726124,1764681422.726124,s,61.54409,s,67.0,°C
2025-12-02,14:17:02.978380,1764681422.97838,s,61.796346,s,67.0,°C
2025-12-02,14:17:03.226606,1764681423.226606,s,62.044572,s,67.0,°C
2025-12-02,14:17:03.478704,1764681423.478704,s,62.29667,s,67.0,°C
2025-12-02,14:17:03.727004,1764681423.727004,s,62.54497,s,67.0,°C
2025-12-02,14:17:03.979090,1764681423.97909,s,62.797056,s,67.0,°C
2025-12-02,14:17:04.227409,1764681424.227409,s,63.045375,s,67.0,°C
2025-12-02,14:17:04.479435,1764681424.479435,s,63.297401,s,67.0,°C
2025-12-02,14:17:04.727835,1764681424.727835,s,63.545801,s,67.0,°C
2025-12-02,14:17:04.979881,1764681424.979881,s,63.797847,s,67.0,°C
2025-12-02,14:17:05.228272,1764681425.228272,s,64.046238,s,67.0,°C
2025-12-02,14:17:05.480326,1764681425.480326,s,64.298292,s,67.0,°C
2025-12-02,14:17:05.728609,1764681425.728609,s,64.546575,s,67.0,°C
2025-12-02,14:17:05.980690,1764681425.98069,s,64.798656,s,67.0,°C
2025-12-02,14:17:06.229087,1764681426.229087,s,65.047053,s,67.0,°C
2025-12-02,14:17:06.481079,1764681426.481079,s,65.299045,s,67.0,°C
2025-12-02,14:17:06.729391,1764681426.729391,s,65.547357,s,67.0,°C
2025-12-02,14:17:06.981594,1764681426.981594,s,65.79956,s,67.0,°C
2025-12-02,14:17:07.229845,1764681427.229845,s,66.047811,s,67.0,°C
2025-12-02,14:17:07.482038,1764681427.482038,s,66.300004,s,67.0,°C
2025-12-02,14:17:07.730059,1764681427.730059,s,66.548025,s,67.0,°C
2025-12-02,14:17:07.982343,1764681427.982343,s,66.800309,s,67.0,°C
2025-12-02,14:17:08.230382,1764681428.230382,s,67.048348,s,67.0,°C
2025-12-02,14:17:08.482843,1764681428.482843,s,67.300809,s,67.0,°C
2025-12-02,14:17:08.730863,1764681428.730863,s,67.548829,s,67.0,°C
2025-12-02,14:17:08.983346,1764681428.983346,s,67.801312,s,67.0,°C
2025-12-02,14:17:09.231382,1764681429.231382,s,68.049348,s,67.0,°C
2025-12-02,14:17:09.483761,1764681429.483761,s,68.301727,s,67.0,°C
2025-12-02,14:17:09.731764,1764681429.731764,s,68.54973,s,67.0,°C
2025-12-02,14:17:09.984188,1764681429.984188,s,68.802154,s,67.0,°C
2025-12-02,14:17:10.232040,1764681430.23204,s,69.050006,s,67.0,°C
2025-12-02,14:17:10.484610,1764681430.48461,s,69.302576,s,67.0,°C
2025-12-02,14:17:10.732581,1764681430.732581,s,69.550547,s,67.0,°C
2025-12-02,14:17:10.984916,1764681430.984916,s,69.802882,s,67.0,°C
2025-12-02,14:17:11.233069,1764681431.233069,s,70.051035,s,67.0,°C
2025-12-02,14:17:11.485339,1764681431.485339,s,70.303305,s,67.0,°C
2025-12-02,14:17:11.733589,1764681431.733589,s,70.551555,s,67.0,°C
2025-12-02,14:17:11.985667,1764681431.985667,s,70.803633,s,67.0,°C
2025-12-02,14:17:12.234088,1764681432.234088,s,71.052054,s,67.0,°C
2025-12-02,14:17:12.485908,1764681432.485908,s,71.303874,s,67.0,°C
2025-12-02,14:17:12.734419,1764681432.734419,s,71.552385,s,67.0,°C
2025-12-02,14:17:12.986219,1764681432.986219,s,71.804185,s,67.0,°C
2025-12-02,14:17:13.234831,1764681433.234831,s,72.052797,s,67.0,°C
2025-12-02,14:17:13.486567,1764681433.486567,s,72.304533,s,67.0,°C
2025-12-02,14:17:13.735348,1764681433.735348,s,72.553314,s,67.0,°C
2025-12-02,14:17:13.986897,1764681433.986897,s,72.804863,s,67.0,°C
2025-12-02,14:17:14.235701,1764681434.235701,s,73.053667,s,67.0,°C
2025-12-02,14:17:14.487223,1764681434.487223,s,73.305189,s,67.0,°C
2025-12-02,14:17:14.735928,1764681434.735928,s,73.553894,s,67.0,°C
2025-12-02,14:17:14.987557,1764681434.987557,s,73.805523,s,67.0,°C
2025-12-02,14:17:15.236283,1764681435.236283,s,74.054249,s,67.0,°C
2025-12-02,14:17:15.487882,1764681435.487882,s,74.305848,s,67.0,°C
2025-12-02,14:17:15.736742,1764681435.736742,s,74.554708,s,67.0,°C
2025-12-02,14:17:15.988094,1764681435.988094,s,74.80606,s,67.0,°C
2025-12-02,14:17:16.236995,1764681436.236995,s,75.054961,s,67.0,°C
2025-12-02,14:17:16.488525,1764681436.488525,s,75.306491,s,67.0,°C
2025-12-02,14:17:16.737381,1764681436.737381,s,75.555347,s,67.0,°C
2025-12-02,14:17:16.989069,1764681436.989069,s,75.807035,s,67.0,°C
2025-12-02,14:17:17.237826,1764681437.237826,s,76.055792,s,67.0,°C
2025-12-02,14:17:17.489642,1764681437.489642,s,76.307608,s,67.0,°C
2025-12-02,14:17:17.738307,1764681437.738307,s,76.556273,s,67.0,°C
2025-12-02,14:17:17.989933,1764681437.989933,s,76.807899,s,67.0,°C
2025-12-02,14:17:18.238719,1764681438.238719,s,77.056685,s,67.0,°C
2025-12-02,14:17:18.490393,1764681438.490393,s,77.308359,s,67.0,°C
2025-12-02,14:17:18.739106,1764681438.739106,s,77.557072,s,67.0,°C
2025-12-02,14:17:18.990723,1764681438.990723,s,77.808689,s,67.0,°C
2025-12-02,14:17:19.239443,1764681439.239443,s,78.057409,s,67.0,°C
2025-12-02,14:17:19.491186,1764681439.491186,s,78.309152,s,67.0,°C
