Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-12-09,14:11:04.545476,1765285864.545476,s,31.777532,s,73.0,°C
2025-12-09,14:11:04.804748,1765285864.804748,s,32.036804,s,73.0,°C
2025-12-09,14:11:05.045832,1765285865.045832,s,32.277888,s,73.0,°C
2025-12-09,14:11:05.305126,1765285865.305126,s,32.537182,s,73.0,°C
2025-12-09,14:11:05.546288,1765285865.546288,s,32.778344,s,73.0,°C
2025-12-09,14:11:05.805644,1765285865.805644,s,33.0377,s,73.0,°C
2025-12-09,14:11:06.046780,1765285866.04678,s,33.278836,s,73.0,°C
2025-12-09,14:11:06.306161,1765285866.306161,s,33.538217,s,73.0,°C
2025-12-09,14:11:06.547160,1765285866.54716,s,33.779216,s,73.0,°C
2025-12-09,14:11:06.806619,1765285866.806619,s,34.038675,s,73.0,°C
2025-12-09,14:11:07.047439,1765285867.047439,s,34.279495,s,73.0,°C
2025-12-09,14:11:07.307081,1765285867.307081,s,34.539137,s,73.0,°C
2025-12-09,14:11:07.547811,1765285867.547811,s,34.779867,s,73.0,°C
2025-12-09,14:11:07.807631,1765285867.807631,s,35.039687,s,73.0,°C
2025-12-09,14:11:08.048200,1765285868.0482,s,35.280256,s,73.0,°C
2025-12-09,14:11:08.307961,1765285868.307961,s,35.540017,s,73.0,°C
2025-12-09,14:11:08.548479,1765285868.548479,s,35.780535,s,73.0,°C
2025-12-09,14:11:08.808441,1765285868.808441,s,36.040497,s,73.0,°C
2025-12-09,14:11:09.048835,1765285869.048835,s,36.280891,s,73.0,°C
2025-12-09,14:11:09.308867,1765285869.308867,s,36.540923,s,73.0,°C
2025-12-09,14:11:09.549158,1765285869.549158,s,36.781214,s,73.0,°C
2025-12-09,14:11:09.809358,1765285869.809358,s,37.041414,s,73.0,°C
2025-12-09,14:11:10.049385,1765285870.049385,s,37.281441,s,73.0,°C
2025-12-09,14:11:10.309875,1765285870.309875,s,37.541931,s,73.0,°C
2025-12-09,14:11:10.549623,1765285870.549623,s,37.781679,s,73.0,°C
2025-12-09,14:11:10.810365,1765285870.810365,s,38.042421,s,73.0,°C
2025-12-09,14:11:11.049900,1765285871.0499,s,38.281956,s,73.0,°C
2025-12-09,14:11:11.310877,1765285871.310877,s,38.542933,s,72.0,°C
2025-12-09,14:11:11.550281,1765285871.550281,s,38.782337,s,72.0,°C
2025-12-09,14:11:11.811366,1765285871.811366,s,39.043422,s,72.0,°C
2025-12-09,14:11:12.050767,1765285872.050767,s,39.282823,s,72.0,°C
2025-12-09,14:11:12.311731,1765285872.311731,s,39.543787,s,72.0,°C
2025-12-09,14:11:12.551267,1765285872.551267,s,39.783323,s,73.0,°C
2025-12-09,14:11:12.812209,1765285872.812209,s,40.044265,s,73.0,°C
2025-12-09,14:11:13.051752,1765285873.051752,s,40.283808,s,72.0,°C
2025-12-09,14:11:13.312635,1765285873.312635,s,40.544691,s,72.0,°C
2025-12-09,14:11:13.552232,1765285873.552232,s,40.784288,s,72.0,°C
2025-12-09,14:11:13.813126,1765285873.813126,s,41.045182,s,72.0,°C
2025-12-09,14:11:14.052661,1765285874.052661,s,41.284717,s,72.0,°C
2025-12-09,14:11:14.313633,1765285874.313633,s,41.545689,s,72.0,°C
