Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
171;1;9;171;647,536842105263;245,242790362459
172;1;10;172;651,552631578947;255,269341896769
173;1;8;173;655,568421052632;234,762866029024
174;1;6;174;659,584210526316;209,416739311229
175;1;5;175;663,6;233,330974097929
176;1;2;176;667,615789473684;231,108800023111
177;1;8;177;671,631578947368;253,330771877751
178;1;16;178;675,647368421053;228,886574591301
179;1;9;179;679,663157894737;207,775676934822
180;1;7;180;683,678947368421;244,441972864497
181;1;7;181;687,694736842105;227,775474714645
182;1;3;182;691,710526315789;243,33087298784
183;1;4;183;695,726315789474;233,330974097929
184;1;3;184;699,742105263158;221,108875454704
185;1;6;185;703,757894736842;228,886574591301
186;1;4;186;707,773684210526;253,330771877751
187;1;3;187;711,789473684211;254,441843483378
188;1;4;188;715,805263157895;224,442175084674
189;1;3;189;719,821052631579;227,522674299294
190;1;4;190;723,836842105263;268,886140275011
191;1;6;191;727,852631578947;231,228893481658
192;1;7;192;731,868421052632;209,997853355277
193;1;6;193;735,884210526316;233,33094817253
194;1;3;194;739,9;237,775373604556
195;1;2;195;743,915789473684;212,220052861682
196;1;0;196;747,931578947368;254,441843483378
197;1;8;197;751,947368421053;235,291715112343
198;1;0;198;755,963157894737;241,480497894711
199;1;6;199;759,978947368421;259,99734224939
200;1;5;200;763,994736842105;243,330845951353
201;1;2;201;768,01052631579;233,33094817253
202;1;4;202;772,026315789474;231,108748666125
203;1;6;203;776,042105263158;237,77534718534
204;1;1;204;780,057894736842;242,21974619815
205;1;4;205;784,073684210526;244,441945704555
206;1;3;206;788,089473684211;223,331025579402
207;1;3;207;792,105263157895;214,20425007869
208;1;2;208;796,121052631579;214,442228541416
209;1;5;209;800,136842105263;238,886446938542
210;1;5;210;804,152631578947;246,390353573487
211;1;5;211;808,168421052632;240,237787361931
212;1;4;212;812,184210526316;239,997520025626
213;1;6;213;816,2;262,219541755795
214;1;4;214;820,215789473684;266,663911139585
215;1;1;215;824,231578947368;235,553121506633
