Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
210;1;24;210;804,152631578947;152,219685227468
211;1;24;211;808,168421052632;146,664222262962
212;1;20;212;812,184210526316;113,331444475925
213;1;23;213;816,2;145,553129670061
214;1;13;214;820,215789473684;172,028212626871
215;1;24;215;824,231578947368;147,144687371092
216;1;16;216;828,247368421053;160,929618263847
217;1;22;217;832,263157894737;153,16060220973
218;1;17;218;836,278947368421;169,166358196651
219,001;1;19;219;840,294736842105;156,664055599073
220;1;23;220;844,31052631579;161,108443871318
221;1;21;221;848,326315789474;144,44203707716
222,001;1;19;222;852,342105263158;161,108425970678
223;1;24;223;856,357894736842;125,553462997839
224;1;23;224;860,373684210526;172,219351899691
225;1;18;225;864,389473684211;143,330960409655
226;1;22;226;868,405263157895;146,664222262962
227;1;12;227;872,421052631579;151,108609424133
228;1;15;228;876,436842105263;135,553311395178
229;1;32;229;880,452631578947;165,185723075559
230;1;16;230;884,468421052632;159,315987329269
231;1;23;231;888,484210526316;168,886092885796
232;1;19;232;892,5;169,997185602149
233;1;21;233;896,515789473684;165,552814736734
234;1;15;234;900,531578947368;131,108940529762
235;1;24;235;904,547368421053;138,88658954424
236;1;22;236;908,563157894737;131,108940529762
237;1;31;237;912,578947368421;138,88658954424
238;1;29;238;916,594736842105;128,886755097055
239;1;27;239;920,610526315789;136,664404111532
240;1;19;240;924,626315789474;155,552980289549
241,001;1;19;241;928,642105263158;146,664238558717
242,001;1;22;242;932,657894736842;143,171883173075
243;1;25;243;936,673684210526;152,149623940183
244;1;17;244;940,689473684211;131,108955097183
245;1;17;245;944,705263157895;139,997682260594
246;1;23;246;948,721052631579;152,219702140487
247;1;24;247;952,736842105263;139,997682260594
248;1;26;248;956,752631578947;134,442233616603
249,001;1;22;249;960,768421052632;165,552814736734
250;1;19;250;964,784210526316;171,108278318503
251;1;31;251;968,8;129,997862257376
252;1;19;252;972,815789473684;144,442053126009
253;1;23;253;976,831578947368;148,886440534089
254;1;18;254;980,847368421053;128,886755097055
255;1;20;255;984,863157894737;144,442069174862
256;1;20;256;988,878947368421;136,664419296216
257,001;1;20;257;992,894736842105;132,220033246116
258;1;19;258;996,910526315789;157,775183252542
259;1;22;259;1000,92631578947;144,442053126009
260;1;28;260;1004,94210526316;148,886440534089
