TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.7227e-02,3.3,3.5,0.06,0.064
-1.7220e-02,3.3,3.1,0.06,0.056
-1.7212e-02,3.3,3.5,0.06,0.064
-1.7204e-02,3.3,3.1,0.06,0.056
-1.7197e-02,3.5,3.5,0.064,0.064
-1.7189e-02,3.3,3.3,0.064,0.056
-1.7181e-02,3.3,3.7,0.064,0.068
-1.7174e-02,3.5,3.3,0.064,0.06
-1.7166e-02,3.5,3.7,0.064,0.068
-1.7158e-02,3.5,3.3,0.064,0.06
-1.7151e-02,3.5,3.7,0.064,0.072
-1.7143e-02,3.5,3.3,0.068,0.06
-1.7135e-02,3.5,3.7,0.068,0.072
-1.7127e-02,3.5,3.3,0.068,0.064
-1.7120e-02,3.5,3.7,0.068,0.072
-1.7112e-02,3.5,3.3,0.068,0.064
-1.7104e-02,3.5,3.7,0.068,0.072
-1.7097e-02,3.5,3.3,0.068,0.064
-1.7089e-02,3.5,3.7,0.072,0.076
-1.7081e-02,3.5,3.3,0.072,0.068
-1.7074e-02,3.5,3.7,0.072,0.076
-1.7066e-02,3.7,3.3,0.072,0.068
-1.7058e-02,3.7,3.7,0.072,0.076
-1.7051e-02,3.5,3.5,0.072,0.068
-1.7043e-02,3.5,3.7,0.072,0.076
-1.7035e-02,3.7,3.5,0.072,0.072
-1.7028e-02,3.7,3.7,0.076,0.08
-1.7020e-02,3.7,3.5,0.076,0.072
-1.7012e-02,3.7,3.9,0.076,0.08
-1.7005e-02,3.7,3.5,0.076,0.072
-1.6997e-02,3.7,3.9,0.076,0.08
-1.6989e-02,3.7,3.5,0.08,0.072
-1.6982e-02,3.7,3.9,0.08,0.084
-1.6974e-02,3.7,3.5,0.08,0.076
-1.6966e-02,3.7,3.9,0.08,0.084
-1.6959e-02,3.7,3.5,0.08,0.076
-1.6951e-02,3.7,3.9,0.08,0.084
-1.6943e-02,3.7,3.5,0.084,0.076
-1.6935e-02,3.9,3.9,0.084,0.084
-1.6928e-02,3.7,3.7,0.084,0.08
-1.6920e-02,3.7,3.9,0.084,0.088
-1.6912e-02,3.9,3.7,0.084,0.08
-1.6905e-02,3.9,4.1,0.084,0.088
-1.6897e-02,3.7,3.7,0.084,0.08
-1.6889e-02,3.9,4.1,0.084,0.088
-1.6882e-02,3.9,3.7,0.084,0.084
-1.6874e-02,3.9,4.1,0.088,0.092
-1.6866e-02,3.9,3.7,0.088,0.084
-1.6859e-02,3.9,4.1,0.088,0.092
-1.6851e-02,3.9,3.7,0.088,0.084
-1.6843e-02,3.7,4.1,0.088,0.092
-1.6836e-02,3.9,3.7,0.092,0.084
-1.6828e-02,3.9,4.1,0.092,0.092
-1.6820e-02,3.9,3.9,0.088,0.084
-1.6813e-02,4.1,4.1,0.092,0.1
-1.6805e-02,3.9,3.9,0.092,0.088
-1.6797e-02,3.9,4.1,0.092,0.096
-1.6790e-02,4.1,3.9,0.092,0.088
-1.6782e-02,4.1,4.1,0.092,0.1
-1.6774e-02,4.1,3.9,0.096,0.092
-1.6767e-02,4.1,4.3,0.096,0.1
-1.6759e-02,4.1,3.9,0.096,0.092
-1.6751e-02,4.1,4.3,0.096,0.1
-1.6743e-02,4.1,3.9,0.096,0.092
-1.6736e-02,4.1,4.3,0.096,0.104
-1.6728e-02,4.1,3.9,0.096,0.096
