t;x;y;vx;vy;x_B;y_B;vx_B;vy_B;
1,117;0,130;4,101E-2;0,124;-5,654E-2;0,321;4,248E-4;-9,548E-2;-8,253E-2
1,133;0,132;4,005E-2;0,121;-6,097E-2;0,320;-9,647E-4;-9,743E-2;-8,926E-2
1,150;0,134;3,898E-2;0,117;-5,859E-2;0,318;-2,550E-3;-0,100;-8,913E-2
1,167;0,136;3,809E-2;0,119;-5,700E-2;0,317;-3,936E-3;-9,982E-2;-8,313E-2
1,183;0,138;3,708E-2;0,125;-5,854E-2;0,315;-5,321E-3;-9,714E-2;-8,404E-2
1,200;0,140;3,614E-2;0,121;-6,125E-2;0,313;-6,737E-3;-9,588E-2;-9,000E-2
1,217;0,142;3,503E-2;0,115;-6,150E-2;0,312;-8,321E-3;-1,000E-1;-9,006E-2
1,233;0,144;3,409E-2;0,120;-5,682E-2;0,310;-9,739E-3;-0,101;-8,480E-2
1,250;0,146;3,314E-2;0,120;-5,894E-2;0,308;-1,115E-2;-9,697E-2;-8,382E-2
1,267;0,148;3,213E-2;0,109;-5,769E-2;0,307;-1,253E-2;-8,827E-2;-8,611E-2
1,283;0,150;3,122E-2;8,753E-2;-5,830E-2;0,305;-1,402E-2;-7,074E-2;-9,344E-2
1,300;0,151;3,018E-2;4,297E-2;-5,050E-2;0,304;-1,565E-2;-4,373E-2;-9,384E-2
1,317;0,151;2,953E-2;-1,003E-2;-3,896E-2;0,304;-1,715E-2;-7,689E-3;-9,358E-2
1,333;0,151;2,889E-2;-5,852E-2;-3,141E-2;0,304;-1,877E-2;2,175E-2;-0,104
1,350;0,149;2,849E-2;-9,282E-2;-1,357E-2;0,305;-2,062E-2;4,376E-2;-0,115
1,367;0,148;2,843E-2;-0,108;-4,852E-3;0,306;-2,259E-2;5,390E-2;-0,115
1,383;0,146;2,832E-2;-0,111;-6,997E-3;0,306;-2,447E-2;5,251E-2;-0,118
1,400;0,144;2,820E-2;-0,110;-9,205E-3;0,307;-2,653E-2;5,412E-2;-0,123
1,417;0,142;2,802E-2;-0,109;-6,888E-3;0,308;-2,856E-2;5,456E-2;-0,121
1,433;0,140;2,797E-2;-0,110;-5,704E-3;0,309;-3,056E-2;5,555E-2;-0,118
1,450;0,139;2,783E-2;-0,112;-7,339E-3;0,310;-3,251E-2;5,302E-2;-0,118
1,467;0,137;2,773E-2;-0,112;-5,774E-3;0,311;-3,450E-2;5,126E-2;-0,119
1,483;0,135;2,764E-2;-0,112;-7,265E-3;0,312;-3,646E-2;4,866E-2;-0,122
1,500;0,133;2,748E-2;-0,113;-9,861E-3;0,313;-3,855E-2;4,728E-2;-0,123
1,517;0,131;2,731E-2;-0,112;-7,766E-3;0,313;-4,057E-2;5,232E-2;-0,120
1,533;0,129;2,723E-2;-0,113;-4,957E-3;0,314;-4,254E-2;5,423E-2;-0,120
1,550;0,127;2,714E-2;-0,116;-7,190E-3;0,315;-4,456E-2;5,161E-2;-0,123
1,567;0,125;2,699E-2;-0,109;-6,094E-3;0,316;-4,663E-2;5,066E-2;-0,117
1,583;0,124;2,694E-2;-0,111;-1,095E-2;0,317;-4,847E-2;4,895E-2;-0,117
1,600;0,122;2,662E-2;-0,115;-1,337E-2;0,318;-5,053E-2;4,946E-2;-0,128
1,617;0,120;2,649E-2;-0,112;-1,017E-2;0,319;-5,273E-2;5,288E-2;-0,125
1,633;0,118;2,628E-2;-0,112;-6,508E-3;0,319;-5,471E-2;4,944E-2;-0,121
1,650;0,116;2,628E-2;-0,106;-3,842E-3;0,320;-5,677E-2;4,943E-2;-0,120
1,667;0,114;2,615E-2;-0,105;-8,689E-3;0,321;-5,872E-2;5,091E-2;-0,117
1,683;0,113;2,599E-2;-0,112;-1,103E-2;0,322;-6,067E-2;4,901E-2;-0,120
1,700;0,111;2,579E-2;-0,111;-7,811E-3;0,323;-6,272E-2;4,914E-2;-0,127
1,717;0,109;2,573E-2;-0,104;-9,026E-3;0,323;-6,491E-2;4,753E-2;-0,128
1,733;0,107;2,549E-2;-0,106;-1,404E-2;0,324;-6,700E-2;5,043E-2;-0,119
1,750;0,105;2,526E-2;-0,115;-1,273E-2;0,325;-6,887E-2;5,392E-2;-0,118
1,767;0,103;2,506E-2;-0,112;-9,469E-3;0,326;-7,094E-2;5,046E-2;-0,122
1,783;0,102;2,494E-2;-0,106;-9,762E-3;0,327;-7,296E-2;4,315E-2;-0,122
1,800;9,983E-2;2,474E-2;-0,107;-1,074E-2;0,327;-7,499E-2;4,437E-2;-0,118
1,817;9,802E-2;2,458E-2;-0,108;-1,145E-2;0,328;-7,689E-2;5,056E-2;-0,118
1,833;9,623E-2;2,435E-2;-0,109;-9,524E-3;0,329;-7,894E-2;4,753E-2;-0,123
1,850;9,438E-2;2,427E-2;-0,108;-1,117E-2;0,330;-8,099E-2;4,429E-2;-0,125
1,867;9,265E-2;2,398E-2;-0,104;-1,577E-2;0,331;-8,311E-2;4,196E-2;-0,126
1,883;9,091E-2;2,374E-2;-0,104;-1,060E-2;0,331;-8,520E-2;4,247E-2;-0,119
1,900;8,918E-2;2,363E-2;-0,108;-8,418E-3;0,332;-8,708E-2;4,462E-2;-0,118
1,917;8,730E-2;2,346E-2;-0,108;-7,844E-3;0,333;-8,914E-2;4,384E-2;-0,124
1,933;8,559E-2;2,337E-2;-0,104;-7,234E-3;0,334;-9,122E-2;4,148E-2;-0,120
1,950;8,385E-2;2,322E-2;-0,106;-1,112E-2;0,334;-9,315E-2;4,203E-2;-0,119
